disease_id,diseaseid,diseasename
12178,C1860707,TUBEROUS SCLEROSIS 2 (disorder)
2151,C0036457,Scrapie
4149,C0264789,Familial cardiomyopathy
7333,C0549143,Pulmonary renal syndrome
6665,C0405469,Granulomatous Mastitis
9438,C1282239,Adenoviral keratitis
6957,C0433992,Noise-induced temporary threshold shift
6848,C0431637,Mullerian aplasia
11369,C1843504,Pontocerebellar Hypoplasia Type 1
15855,C3898569,Low Grade Astrocytic Tumor
15099,C3640999,High Grade Astrocytic Tumor
14634,C3280799,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIB"
13629,C2880562,Age-related cortical cataract
16793,C4284586,Perinatal depression in mother
11165,C1838192,"SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT (disorder)"
13789,C2931355,"Spastic paraplegia 3, autosomal dominant"
1644,C0027577,Nelson Syndrome
8335,C0752355,Myotonia Fluctuans (disorder)
3460,C0206740,Calcifying Odontogenic Cyst
5617,C0334574,Calcifying Epithelial Odontogenic Tumor
5616,C0334572,Ameloblastic fibroma
13953,C2939175,Meconium ileus
13745,C2931134,"Cutis laxa, recessive"
974,C0018418,Gynecomastia
4609,C0268407,Senile cardiac amyloidosis
10981,C1834846,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 1"
17847,C4699152,ST-segment elevation myocardial infarction (STEMI)
14022,C2987398,Gastric Choriocarcinoma
8807,C0872218,MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME
12032,C1857802,MORM syndrome
16733,C4274118,Joubert syndrome with ocular defect
15720,C3887633,"Dandy-Walker Syndrome, Familial"
17867,C4706258,2q33.1 microdeletion syndrome
16912,C4304531,2q32q33 microdeletion syndrome
5410,C0311237,Goniodysgenesis
17904,C4707262,Non-herpetic acute limbic encephalitis
17143,C4317124,Polynesian Bronchiectasis
5613,C0334565,Adenoameloblastoma
5865,C0341395,Perianal Crohn's disease
13279,C2698750,Pediatric follicular lymphoma
2994,C0154060,Carcinoma in situ of stomach
16363,C4075603,Occult chronic type B viral hepatitis
17242,C4478716,NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 1
7295,C0544618,Orthostatic hypertension
12804,C1970479,Branchiootorenal Syndrome 2
17637,C4551702,Branchiootorenal Syndrome 1
7563,C0677865,Brain Stem Glioma
13705,C2931002,Congenital disorder of glycosylation type 1H
4666,C0268576,Hyperleucinemia
14114,C3150876,COG5 congenital disorder of glycosylation
5402,C0302872,"MYELOMA, ENDOTHELIAL"
14237,C3151404,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 2"
14408,C3272425,Gastric Schwannoma
13580,C2826330,Refractory anemia with ring sideroblasts associated with marked thrombocytosis
14312,C3160951,Hepatitis flare
9375,C1275125,Inherited disorder of porphyrin metabolism
4999,C0274306,Cutaneous anaphylaxis
4644,C0268524,gamma-Glutamyltransferase deficiency
10478,C1562061,Microspherophakia
828,C0015652,Fascioliasis
4240,C0265334,Pachyonychia Congenita
510,C0009759,Conjunctival Diseases
17269,C4479534,TOWNES-BROCKS SYNDROME 2
3795,C0238049,Adult form of celiac disease
12561,C1868679,"GRISCELLI SYNDROME, TYPE 2"
9437,C1282227,Postoperative endophthalmitis
13204,C2677109,"Leukodystrophy, Hypomyelinating, 4"
7450,C0581874,Late insomnia
13608,C2873786,Deficiency of factor VII [stable]
15833,C3896643,New Onset Diabetes After Transplant
3912,C0241868,acute aortic dissection
10690,C1709656,"Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type"
18005,C4725024,Refractory Leukemia
12685,C1960636,Dysglycemia
2679,C0086103,"Decayed, Missing, and Filled Teeth"
7837,C0744466,gout tophaceous
10007,C1335703,Recurrent Head and Neck Carcinoma
18093,C4744444,Metastatic Lung Adenocarcinoma
6711,C0406757,Hereditary palmoplantar keratoderma
9598,C1304306,Metastatic basal cell carcinoma
17142,C4317112,Generalized Lipodystrophy
9801,C1333043,Chronic Myelomonocytic Leukemia-1
8706,C0858699,Skin keratosis
16355,C4072686,Cardiovascular disease+Pulmonary disease
5425,C0332840,Amputated structure (morphologic abnormality)
10586,C1697846,Psoriatic conditions
2788,C0151236,Conduction system abnormalities
13906,C2936458,Fasciculoventricular Accessory Pathway
9569,C1302363,Dysplasia of colon
14490,C3278664,"LIVER FAILURE, INFANTILE, TRANSIENT"
13532,C2751584,Neurodegeneration Due To Cerebral Folate Transport Deficiency
5984,C0342705,"Folate Malabsorption, Hereditary"
14375,C3249881,Infection - suppurative
15792,C3888521,Autoimmune demyelinating disease
4761,C0270804,Spastic Diplegia Cerebral Palsy
8565,C0854084,Streptococcal necrotizing fasciitis
10012,C1335729,Refractory Neoplasm
18030,C4727087,Metastatic Lung Carcinoma
9076,C1112631,Allergic keratoconjunctivitis
2310,C0039503,Tendinitis
6340,C0349633,Hairy cell leukemia variant
5505,C0334244,Papillary squamous cell carcinoma
13309,C2713321,alpha-L-Iduronidase Deficiency
8321,C0752289,Environmental Sleep Disorder
8323,C0752292,Nocturnal Eating-Drinking Syndrome
8324,C0752293,"Sleep Disorders, Extrinsic"
8320,C0752288,Adjustment Sleep Disorder
8322,C0752291,Limit-Setting Sleep Disorder
16438,C4087479,Neuromyelitis optica attack
12342,C1864436,Muenke Syndrome
2414,C0041955,Ureteral Neoplasms
14747,C3494609,Asymptomatic carotid artery stenosis
10182,C1396740,Epidemic polyarthritis
17329,C4511324,Hypnotic withdrawal
10815,C1827973,Barbiturate withdrawal
5654,C0334699,Malignant myoepithelioma
18149,C4748435,"ISOLATED GROWTH HORMONE DEFICIENCY, TYPE V"
11760,C1853099,Cornelia de Lange Syndrome 3
13508,C2751292,Hypotrichosis And Recurrent Skin Vesicles
13510,C2751294,"GLAUCOMA 1, OPEN ANGLE, O"
7639,C0685898,Food anaphylaxis
15145,C3665629,Dental fluorosis
7868,C0746025,Lumbar spondylolisthesis
2234,C0038016,Spondylolisthesis
15795,C3888554,UGT1A1 gene polymorphism
11396,C1844696,"OTOPALATODIGITAL SYNDROME, TYPE II"
13475,C2750732,Noonan Syndrome 6
15167,C3669212,Progressive retinal atrophy
532,C0010074,Coronary Vessel Anomalies
6426,C0392607,Severe combined immunodeficiency due to adenosine deaminase deficiency
4090,C0263859,"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome"
11661,C1850169,"OSTEOGENESIS IMPERFECTA, TYPE IX (disorder)"
11371,C1843542,"T-CELL PROLYMPHOCYTIC LEUKEMIA, SOMATIC"
2618,C0085436,"Meningitis, Cryptococcal"
7474,C0586358,Biliary Intraepithelial Neoplasia
2584,C0085179,Eosinophilia-Myalgia Syndrome
8163,C0751622,"Eosinophilia-Myalgia Syndrome, L-Tryptophan-Related"
17100,C4310809,ANTERIOR SEGMENT DYSGENESIS 5
6047,C0343081,Livedoid vasculitis
15709,C3887518,Adult Myxopapillary Ependymoma
10744,C1720859,"Familial Partial Lipodystrophy, Type 1"
10746,C1720861,"Familial Partial Lipodystrophy, Type 3"
8814,C0877024,Schimke immunoosseous dysplasia
18077,C4733333,familial non-medullary thyroid cancer
2229,C0037998,Splenic Infarction
15654,C3853540,Aspirin exacerbated respiratory disease
18068,C4733128,familial chordoma
4296,C0265808,Cyanotic congenital heart disease
13509,C2751293,"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 5"
14069,C3150596,"MONONEUROPATHY OF THE MEDIAN NERVE, MILD"
14503,C3279716,N-ACETYLASPARTATE DEFICIENCY
4096,C0263992,Exertional rhabdomyolysis (disorder)
17869,C4706387,Acute necrotizing encephalopathy of childhood
13907,C2936459,Nodoventricular Accessory Pathway
15404,C3809312,"ATRIAL FIBRILLATION, FAMILIAL, 14"
16913,C4304532,2q23.1 microdeletion syndrome
1948,C0032541,Polyneuritis
3565,C0221163,Motor Disorders
3900,C0240811,Prostatic Infection
13402,C2748572,SeSAME syndrome
17750,C4552318,Gastrointestinal adenocarcinoma
15296,C3805089,Hyperfibrinolysis
15542,C3824769,Lymphomas in children
8710,C0858853,Impulsive aggression
16871,C4302876,Oligocone trichromacy
12822,C1997262,Hypothyroidism in pregnancy
6030,C0342886,Primary hypertriglyceridemia
3073,C0155601,Hypertensive heart and renal disease
3855,C0238457,Thrombosis of renal vein
3001,C0154143,Toxic multinodular goiter
3435,C0206712,Mucoepidermoid Tumor
7183,C0521175,Neuropil Threads
6610,C0400821,"Colitis, Microscopic"
1599,C0026857,Musculoskeletal Diseases
13483,C2750787,Weill-Marchesani-Like Syndrome
5763,C0339681,Index myopia
13488,C2750804,"Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities"
9338,C1272348,Disorder of vitamin B12
5579,C0334473,Intramuscular lipoma
1100,C0020074,HSAN Type IV
13502,C2751092,"Neuropathy, Hereditary Sensory And Autonomic, Type IIB"
3995,C0259749,Autonomic neuropathy
1099,C0020072,"Hereditary Sensory Autonomic Neuropathy, Type 2"
1098,C0020071,"Hereditary Sensory Autonomic Neuropathy, Type 1"
2691,C0086405,Hereditary Sensory Radicular Neuropathy
1101,C0020075,"Hereditary Sensory Autonomic Neuropathy, Type 5"
6642,C0403555,Ochoa syndrome
13059,C2609268,Low phospholipid-associated cholelithiasis
3588,C0221287,Combined Hepatocellular Carcinoma and Cholangiocarcinoma
15749,C3888007,HERMANSKY-PUDLAK SYNDROME 6
10187,C1398522,Cleft palate and bilateral cleft lip
14455,C3275521,CHROMOSOME Xq27.3-q28 DUPLICATION SYNDROME
611,C0011645,Dermatosis Papulosa Nigra
5407,C0302894,Stucco keratosis
2722,C0086942,Rous Sarcoma
15787,C3888498,Traumatic ulcerative granuloma with stromal eosinophilia
18078,C4733337,hereditary gastrointestinal stromal tumor
6150,C0345049,Ascending aorta dilatation
17166,C4324298,Tumour inflammation
10580,C1695689,Non-dipping
13479,C2750771,"Amelogenesis Imperfecta, Hypomaturation Type, Iia3"
15901,C4012146,DESBUQUOIS DYSPLASIA 1
6900,C0432242,Desbuquois syndrome
2320,C0039743,Thanatophoric Dysplasia
12560,C1868678,"THANATOPHORIC DYSPLASIA, TYPE I (disorder)"
5532,C0334317,Cystadenofibroma
17150,C4317295,Congenital disorder of glycosylation type 1s
233,C0004775,Bartter Disease
13363,C2733623,Bone Fibrosarcoma
11883,C1855052,"MICROPHTHALMIA, ISOLATED 1"
17708,C4551977,"Microphthalmos, Autosomal Recessive"
14150,C3150969,"MICROPHTHALMIA, ISOLATED 7"
13814,C2931501,Microphthalmia associated with colobomatous cyst
14148,C3150967,"KLIPPEL-FEIL SYNDROME 3, AUTOSOMAL DOMINANT"
12132,C1859353,"Candidiasis, Familial, 2"
1606,C0026946,Mycoses
25,C0001261,Actinomycosis
10845,C1832387,"DIABETES MELLITUS, NONINSULIN-DEPENDENT, 2 (disorder)"
5609,C0334551,Myxoid chondrosarcoma
13477,C2750747,"NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1C"
13294,C2711029,Hypothalamic-pituitary-adrenal axis dysfunction
2140,C0036347,"Schizophrenia, Disorganized"
16275,C4048809,SCHWANNOMATOSIS 1
1880,C0031048,"Pericarditis, Constrictive"
14223,C3151267,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 20"
13497,C2751084,"Cardiomyopathy, Dilated, 1CC"
7857,C0745153,Hypoglycaemic episode
5630,C0334595,Ganglioneuromatosis
16822,C4288260,STXBP2 Deficiency
13494,C2751053,"INFLAMMATORY BOWEL DISEASE 28, AUTOSOMAL RECESSIVE"
13142,C2675508,"INFLAMMATORY BOWEL DISEASE 25, AUTOSOMAL RECESSIVE"
15920,C4014258,"IMMUNODEFICIENCY, COMMON VARIABLE, 11"
11931,C1855789,Self-Healing Collodion Baby
4956,C0272192,Familial eosinophilia
13487,C2750798,Polymicrogyria With Optic Nerve Hypoplasia
14593,C3280479,PITT-HOPKINS-LIKE SYNDROME 2
1824,C0030343,Panuveitis
10204,C1404931,Septic peritonitis
15808,C3889085,Ascending aortic dilatation
7544,C0600298,Periodontosis
7079,C0476073,Papillary neoplasm
12893,C2239246,"Endometrial stromal sarcoma, high grade"
15056,C3554385,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu"
16770,C4280863,Undifferentiated large cell carcinoma
16439,C4087490,Abdominal tuberculosis
8430,C0796195,Waisman syndrome
5834,C0340834,Hennekam lymphangiectasia-lymphedema syndrome
7001,C0455990,Immune Hydrops Fetalis
9897,C1334228,Intestinal Graft Versus Host Disease
9056,C1112261,Gaze palsy
3257,C0178238,Intestinal infectious disease (disorder)
1873,C0031024,Suppurative Periapical Periodontitis
15247,C3714618,Primary Hyperthyroidism
9654,C1319016,"Nephrogenic rest, intralobar"
5950,C0342496,Micronodular adrenal hyperplasia
16321,C4053528,Cribriform Neuroepithelial Tumor
4201,C0265257,Genee-Wiedemann syndrome
8471,C0812435,Chromosome 11p deletion syndrome
6771,C0410606,Cervical Disc Degenerative Disorder
534,C0010232,Cowpox
10535,C1609528,Restrictive deficit on pulmonary function testing
17241,C4478701,Focal cortical dysplasia type IIb
4173,C0265205,Robinow Syndrome
17553,C4551476,"Robinow Syndrome, Autosomal Dominant"
10706,C1719306,Refractory cytopenia with multilineage dysplasia (RCMD)
8457,C0796466,Refractory cytopenia with multilineage dysplasia
4569,C0268337,"Ehlers-Danlos syndrome, type 3 (disorder)"
6149,C0345002,Quadricuspid aortic valve
11558,C1848029,Ehlers-Danlos syndrome caused by tenascin-X deficiency
1951,C0032586,Polyradiculopathy
10105,C1369136,Anal cancer metastatic
9561,C1301363,Blastic plasmacytoid dendritic cell neoplasm
16133,C4021800,Abnormality of dental enamel
9184,C1260326,"Dendritic Cell Sarcoma, Interdigitating"
9528,C1298714,Congenital pelviureteric junction obstruction
8767,C0862882,Multiple trichoepitheliomas
965,C0018179,"Granular Dystrophy, Corneal"
13899,C2936403,"46, XX Disorders of Sex Development"
6144,C0344923,Multiple ventricular septal defects
3189,C0162530,"Porphyria, Erythropoietic"
9208,C1262005,Ischaemic cerebral infarction
15317,C3806275,DEAFNESS AND MYOPIA
13021,C2584774,Congenital hypofibrinogenemia
6337,C0349623,Primary Melanocytic Lesion of Meninges
6690,C0406586,Wiedemann-Rautenstrauch syndrome
5003,C0275551,Primary bacterial peritonitis
7459,C0585187,Infected ascites
3563,C0221106,Alkalemia
17137,C4317043,Simpson-Golabi-Behmel syndrome
17662,C4551854,HYPOPLASTIC LEFT HEART SYNDROME 1
17683,C4551906,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus"
16782,C4283894,"MENTAL RETARDATION, X-LINKED 61"
13240,C2678045,"TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS"
16825,C4288409,Perforin Deficiency
13747,C2931139,Nondystrophic myotonia
9986,C1335356,Carcinoma ex pleomorphic adenoma of parotid gland
9447,C1282968,"von Willebrand Disease, Type 2A"
16199,C4024961,Metachromatic leukodystrophy variant
6301,C0349251,Behavioral syndrome associated with physiological disturbance and physical factors
7532,C0600074,Autotomy
12542,C1868512,"Leukodystrophy, Demyelinating, Adult-Onset, Autosomal Dominant"
6466,C0393639,Hashimoto's encephalitis
3876,C0239119,Lenticonus
4521,C0268186,Congenital glucose-galactose malabsorption
14373,C3245525,Familial renal glucosuria
7223,C0522274,Humoral immune defect
116,C0002886,"Anemia, Macrocytic"
3784,C0237938,Gastrointestinal ulcer
17848,C4699184,Fuchs
13000,C2363755,Acquired Protein S Deficiency
3969,C0242666,Protein S Deficiency
8746,C0861154,Allergic rhinoconjunctivitis
12471,C1866294,"EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE 1"
6861,C0431886,Thumb in palm deformity
13486,C2750791,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13"
12100,C1858723,Poikiloderma with Neutropenia
14284,C3159311,BORNHOLM EYE DISEASE
9296,C1266109,Large cell calcifying Sertoli cell tumor
3616,C0221725,Bronchial Obstruction
16085,C4016019,DNA Ligase I Deficiency
10244,C1443296,Axial myopia
1881,C0031051,Pericementitis
7550,C0600502,Vascular Hemostatic Disorders
588,C0011389,Dental Plaque
13344,C2721670,Ultrafiltration failure
9566,C1301752,Respiratory morbidity
4897,C0271801,Central hypothyroidism
9348,C1274215,Autosomal recessive ichthyosis
16898,C4303947,Cerebrofaciothoracic Dysplasia
10481,C1562585,"Leprosy, Multibacillary"
10146,C1386091,Acromicria
13470,C2750475,Focal Segmental Glomerulosclerosis 5
4555,C0268292,Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency
15165,C3669121,11-Beta-hydroxylase deficiency
7457,C0585129,Retroperitoneal sarcoma
17844,C4698645,Nor98
4247,C0265344,Donohue Syndrome
10361,C1516858,Endometrial Small Cell Carcinoma
8722,C0860023,Acute fulminant hepatitis
11315,C1842577,JOUBERT SYNDROME 2
12331,C1864148,"MECKEL SYNDROME, TYPE 2"
12870,C2079540,"Charcot-Marie-Tooth disease, Type 2C"
11186,C1838492,"SPINAL MUSCULAR ATROPHY, DISTAL, CONGENITAL NONPROGRESSIVE (disorder)"
14583,C3280371,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4
13268,C2680446,"SPASTIC PARAPLEGIA 43, AUTOSOMAL RECESSIVE"
18218,C4749824,Charcot-Marie-Tooth disease type 2B5
15673,C3872560,Acute vascular graft rejection
15794,C3888552,Autoimmune colitis
10365,C1517658,Cervical Keratinizing Squamous Cell Carcinoma
13578,C2826321,Refractory Thrombocytopenia
7834,C0744310,gastritis h pylori
13449,C2750090,"Charcot-Marie-Tooth Disease, Axonal, Type 2n"
7662,C0694563,Excessive daytime somnolence
15021,C3554046,LETHAL CONGENITAL CONTRACTURE SYNDROME 4
14598,C3280526,"ARTHROGRYPOSIS, DISTAL, TYPE 1B"
11729,C1852085,Digitotalar Dysmorphism
10596,C1699634,HER-2 positive breast cancer
12992,C2362914,clinical depression
10303,C1504559,Retinal gliosis
4463,C0267807,Lupus hepatitis
15360,C3808940,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 5"
7638,C0685894,Congenital absence of thymus
5985,C0342708,Gamma aminobutyric acid transaminase deficiency
12952,C2347759,Childhood Grade II Meningioma
10334,C1512259,Grade II Meningioma
12948,C2347750,Adult Grade II Meningioma
9712,C1328931,Multiple lentigines
12469,C1866282,"CEROID LIPOFUSCINOSIS, NEURONAL, 6"
15756,C3888081,L-2-hydroxyglutaric acidemia
7562,C0677779,hereditary Wilms tumor
10010,C1335713,Recurrent Meningioma
1892,C0031142,Peritoneal Diseases
5816,C0340543,Familial primary pulmonary hypertension
926,C0017609,"Glaucoma, Neovascular"
7201,C0521706,Unilateral cataract
9820,C1333275,Dermal Fibroma
6095,C0343856,Systemic aspergillosis
1859,C0030779,Pelger-Huet Anomaly
7686,C0700299,Heinz Body Anemias
12110,C1858990,"Beta Thalassemia, Dominant Inclusion Body Type"
2213,C0037789,Specific reading disorder
6076,C0343467,Erythema nodosum leprosum
6075,C0343466,Type 2 lepra reaction
16155,C4022810,Abnormality of nervous system morphology
17910,C4707790,Idiopathic recurrent pericarditis
11698,C1851102,"Fibrosis Of Extraocular Muscles, Congenital, 1"
16069,C4015552,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 5"
11043,C1836217,Tukel syndrome
13503,C2751105,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B (disorder)"
13404,C2748801,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT"
13457,C2750404,"Fibrosis of Extraocular Muscles, Congenital, 3C"
1722,C0028850,Ocular Motility Disorders
5070,C0277527,Epidemic diarrhea
9609,C1305968,Eccrine dermal cylindroma
14829,C3536576,Chronic myelopathy
2867,C0152113,Rheumatic Chorea
4145,C0264757,Rheumatic disease of heart valve
9593,C1304147,Retention hyperkeratosis
1836,C0030443,Familial Periodic Paralysis
9425,C1279412,periodic paralysis (finding)
950,C0017927,Glycogen Storage Disease Type VIII
4552,C0268285,"Adrenal hyperplasia, congenital, type 5"
14131,C3150913,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip"
13384,C2748355,Descending thoracic aortic dissection
8950,C0948209,Intestinal adenocarcinoma
15722,C3887639,Autoimmune gastritis
8211,C0751761,Upper Airway Resistance Sleep Apnea Syndrome
11076,C1836694,"Striatal Degeneration, Autosomal Dominant"
