disease_id,diseaseid,diseasename
14204,C3151190,RETINITIS PIGMENTOSA 48
5994,C0342749,GLYCOGEN STORAGE DISEASE Ic
2657,C0085682,Hypophosphatemia
7516,C0598766,Leukemogenesis
2745,C0149678,Epstein-Barr Virus Infections
2572,C0085110,Severe Combined Immunodeficiency
1611,C0026987,Myelofibrosis
59,C0001815,Primary Myelofibrosis
1614,C0027013,Myeloid Metaplasia
1601,C0026896,Myasthenia Gravis
5629,C0334590,Anaplastic Oligodendroglioma
7382,C0555198,Malignant Glioma
7675,C0699885,Carcinoma of bladder
259,C0005695,Bladder Neoplasm
255,C0005684,Malignant neoplasm of urinary bladder
14783,C3495917,Advanced breast cancer
9083,C1134719,Invasive Ductal Breast Carcinoma
1804,C0029925,Ovarian Carcinoma
13856,C2931822,Nasopharyngeal carcinoma
205,C0004114,Astrocytoma
10326,C1510885,Angiogenic Switch
2628,C0085576,Iron-Refractory Iron Deficiency Anemia
15315,C3806153,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1"
11036,C1836122,"SARCOIDOSIS, EARLY-ONSET"
17380,C4520983,Congenital atresia of extrahepatic bile duct
249,C0005411,Biliary Atresia
1817,C0030297,Pancreatic Neoplasm
10397,C1527231,Adrenomyeloneuropathy
3878,C0239211,Oedema auricular
1617,C0027051,Myocardial Infarction
1417,C0024115,Lung diseases
15305,C3805278,Extrahepatic Cholangiocarcinoma
16784,C4284013,Primary cholangiocarcinoma of intrahepatic biliary tract
3423,C0206698,Cholangiocarcinoma
6172,C0345905,Intrahepatic Cholangiocarcinoma
9794,C1332986,Childhood Osteosarcoma
3270,C0178874,Tumor Progression
2982,C0153676,Secondary malignant neoplasm of lung
13955,C2939419,Secondary Neoplasm
7465,C0585442,Osteosarcoma of bone
1649,C0027627,Neoplasm Metastasis
1783,C0029463,Osteosarcoma
4518,C0268164,"Primary hyperoxaluria, type I"
13365,C2745900,Promyelocytic leukemia
215,C0004352,Autistic Disorder
12624,C1955634,Kaposi's sarcoma-associated herpesvirus infection
653,C0013170,Drug habituation
2497,C0043346,Xeroderma Pigmentosum
2653,C0085669,Acute leukemia
10607,C1704251,Breast Lymphoma
2986,C0153690,Secondary malignant neoplasm of bone
1365,C0023493,Adult T-Cell Lymphoma/Leukemia
1364,C0023492,"Leukemia, T-Cell"
2125,C0036220,Kaposi Sarcoma
2250,C0038354,Stomach Diseases
6181,C0345967,Malignant mesothelioma
2083,C0035335,Retinoblastoma
350,C0007131,Non-Small Cell Lung Carcinoma
14390,C3266262,Multiple Chronic Conditions
1885,C0031094,Periodontal Pocket
1884,C0031090,Periodontal Diseases
16232,C4025886,Severe periodontitis
2818,C0151650,Renal fibrosis
488,C0009375,Colonic Neoplasms
8341,C0795801,trisomy 2
1442,C0024301,"Lymphoma, Follicular"
3858,C0238463,Papillary thyroid carcinoma
333,C0007097,Carcinoma
18032,C4727169,Metastatic Gastric Carcinoma
1436,C0024232,Lymphatic Metastasis
1821,C0030319,Panic Disorder
7067,C0474808,Follicular neoplasm
13425,C2749757,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1
1746,C0029182,orbit (eye disorders)
13930,C2936858,Congenital adrenal hyperplasia due to 21 hydroxylase deficiency
8531,C0852654,21-hydroxylase deficiency
1673,C0027765,nervous system disorder
380,C0007758,Cerebellar Ataxia
2724,C0087012,"Ataxia, Spinocerebellar"
7120,C0494475,Tonic - clonic seizures
14009,C2986703,Overgrowth Syndrome
1120,C0020443,Hypercholesterolemia
2334,C0040136,Thyroid Neoplasm
3412,C0206682,Follicular thyroid carcinoma
13793,C2931367,"Thyroid cancer, follicular"
7349,C0549473,Thyroid carcinoma
341,C0007115,Malignant neoplasm of thyroid
2315,C0039585,Androgen-Insensitivity Syndrome
12196,C1861172,Venous Thromboembolism
621,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
5530,C0334307,Tubulovillous adenoma
37,C0001430,Adenoma
7673,C0699790,Colon Carcinoma
544,C0010346,Crohn Disease
15858,C3898709,Intestinal-Type Sinonasal Adenocarcinoma
35,C0001422,Adenofibroma
398,C0007860,Uterine Cervicitis
10339,C1512433,Cervical high grade squamous intraepithelial lesion
3431,C0206708,Cervical Intraepithelial Neoplasia
6082,C0343641,Human papilloma virus infection
10329,C1511306,Breast Diffuse Large B-Cell Lymphoma
2534,C0079588,"Ichthyosis, X-Linked"
929,C0017636,Glioblastoma
13319,C2717836,Steroid Sulfatase Deficiency Disease
5000,C0275518,Acute infectious disease
1164,C0020615,Hypoglycemia
8160,C0751606,Adult Acute Lymphocytic Leukemia
12689,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
1344,C0023452,Childhood Acute Lymphoblastic Leukemia
10336,C1512409,Hepatocarcinogenesis
599,C0011581,Depressive disorder
595,C0011570,Mental Depression
395,C0007847,Malignant tumor of cervix
5395,C0302592,Cervix carcinoma
16269,C4048328,cervical cancer
1616,C0027022,Myeloproliferative disease
15258,C3714757,Juvenile rheumatoid arthritis
14768,C3495559,Juvenile arthritis
9480,C1290886,Chronic inflammatory disorder
18,C0001175,Acquired Immunodeficiency Syndrome
9156,C1168401,Squamous cell carcinoma of the head and neck
5371,C0282612,Prostatic Intraepithelial Neoplasias
12564,C1868683,"B-CELL MALIGNANCY, LOW-GRADE"
5477,C0333875,High-Grade Squamous Intraepithelial Lesions
619,C0011854,"Diabetes Mellitus, Insulin-Dependent"
352,C0007134,Renal Cell Carcinoma
4023,C0262584,"Carcinoma, Small Cell"
2139,C0036346,"Schizophrenia, Childhood"
9333,C1269955,Tumor Cell Invasion
1354,C0023473,"Myeloid Leukemia, Chronic"
738,C0014175,Endometriosis
5145,C0278764,Adult Burkitt Lymphoma
315,C0006413,Burkitt Lymphoma
5172,C0278879,Childhood Burkitt Lymphoma
1214,C0021400,Influenza
3988,C0243026,Sepsis
2166,C0036690,Septicemia
8388,C0796003,Juberg-Marsidi syndrome
15660,C3854222,Human immunodeficiency virus (HIV) II infection category B1
334,C0007102,Malignant tumor of colon
2260,C0038436,Post-Traumatic Stress Disorder
2550,C0079772,T-Cell Lymphoma
9789,C1332977,Childhood Leukemia
1335,C0023418,leukemia
1349,C0023465,Acute monocytic leukemia
8181,C0751674,Lymphangioleiomyomatosis
3429,C0206704,"Carcinoma, Large Cell"
444,C0008497,Choriocarcinoma
5218,C0279626,Squamous cell carcinoma of esophagus
8929,C0940937,precancerous lesions
9956,C1334953,Neuroblastic tumors
3483,C0220644,Childhood Hodgkin Lymphoma
3469,C0220597,Adult Hodgkin Lymphoma
1446,C0024305,"Lymphoma, Non-Hodgkin"
10293,C1458155,Mammary Neoplasms
5471,C0333516,Tumor necrosis
10374,C1519346,Skin Carcinogenesis
1882,C0031069,Familial Mediterranean Fever
239,C0004943,Behcet Syndrome
7869,C0746102,Chronic lung disease
441,C0008489,Chorea
6418,C0392477,Congenital flat foot
3690,C0234535,Clonic Seizures
861,C0016202,Flatfoot
4104,C0264133,Acquired flat foot
16442,C4087504,Peritoneal dissemination
491,C0009402,Colorectal Carcinoma
17978,C4722085,Malignant neoplasm of colon and/or rectum
555,C0010606,Adenoid Cystic Carcinoma
1504,C0025149,Medulloblastoma
5097,C0278510,Childhood Medulloblastoma
5169,C0278876,Adult Medulloblastoma
355,C0007138,"Carcinoma, Transitional Cell"
12203,C1861305,TARSAL-CARPAL COALITION SYNDROME
567,C0010823,Cytomegalovirus Infections
1425,C0024141,"Lupus Erythematosus, Systemic"
14565,C3280216,"HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 3"
13514,C2751310,"Hyperuricemic Nephropathy, Familial Juvenile 2"
154,C0003467,Anxiety
10545,C1611743,Familial (FPAH)
5272,C0280100,Solid Neoplasm
12892,C2239176,Liver carcinoma
1401,C0023890,Liver Cirrhosis
1055,C0019189,"Hepatitis, Chronic"
7069,C0474822,Benign pheochromocytoma
1557,C0026205,Miosis disorder
572,C0011168,Deglutition Disorders
7243,C0524851,Neurodegenerative Disorders
219,C0004509,Azoospermia
1104,C0020179,Huntington Disease
1406,C0023896,Alcoholic Liver Diseases
14689,C3469186,"HEMOCHROMATOSIS, TYPE 1"
2564,C0085078,Lysosomal Storage Diseases
3368,C0206630,Endometrial Stromal Sarcoma
1580,C0026691,Mucocutaneous Lymph Node Syndrome
12989,C2362324,Pediatric Obesity
13970,C2960064,Low grade dysplastic nodule
5209,C0279607,Adult Hepatocellular Carcinoma
13971,C2960065,High grade dysplastic nodule
1826,C0030354,Papilloma
9779,C1332922,Cervical Squamous Intraepithelial Neoplasia
10936,C1833683,"NEPHROLITHIASIS, CALCIUM OXALATE"
1408,C0023903,Liver neoplasms
216,C0004364,Autoimmune Diseases
6738,C0409979,Neonatal Systemic lupus erythematosus
1352,C0023470,Myeloid Leukemia
1030,C0019025,Hemoglobin F Disease
4923,C0271994,Hereditary persistence of fetal hemoglobin thalassemia
2319,C0039730,Thalassemia
208,C0004153,Atherosclerosis
180,C0003850,Arteriosclerosis
12648,C1956346,Coronary Artery Disease
1166,C0020619,Hypogonadism
13527,C2751492,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED"
1949,C0032580,Adenomatous Polyposis Coli
3349,C0206245,"Amyloid Neuropathies, Familial"
657,C0013264,"Muscular Dystrophy, Duchenne"
1596,C0026848,Myopathy
1849,C0030552,Paresis
2776,C0149939,Obstructive nephropathy
1362,C0023487,Acute Promyelocytic Leukemia
14680,C3463824,MYELODYSPLASTIC SYNDROME
6391,C0376544,Hematopoietic Neoplasms
9510,C1292769,Precursor B-cell lymphoblastic leukemia
5767,C0339789,Congenital deafness
15213,C3711374,Nonsyndromic Deafness
10609,C1704272,Benign Prostatic Hyperplasia
2754,C0149782,Squamous cell carcinoma of lung
1247,C0022408,Arthropathy
279,C0005944,Metabolic Bone Disorder
2446,C0042373,Vascular Diseases
1685,C0027831,Neurofibromatosis 1
2518,C0079218,"Fibromatosis, Aggressive"
2204,C0037579,Soft Tissue Neoplasms
1607,C0026948,Mycosis Fungoides
9998,C1335475,Primary Carcinoma
1356,C0023479,Acute myelomonocytic leukemia
1450,C0024314,Lymphoproliferative Disorders
6363,C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site
2279,C0038644,Sudden infant death syndrome
12326,C1864040,Cerebral Cavernous Malformations 3
13663,C2919945,Cavernous Hemangioma of Brain
13776,C2931263,Familial cerebral cavernous malformation
1076,C0019348,Herpes Simplex Infections
7180,C0521158,Recurrent tumor
1960,C0032927,Precancerous Conditions
1359,C0023484,"Leukemia, Plasma Cell"
10630,C1704423,Milroy Disease
10054,C1336716,testicular embryonal carcinoma and teratoma
3734,C0235833,Congenital diaphragmatic hernia
6493,C0393738,Chronic tension-type headache
14376,C3250443,MYOTONIC DYSTROPHY 1
6393,C0376618,Endotoxemia
15248,C3714619,Insulin resistance syndrome
1085,C0019569,Hirschsprung Disease
1002,C0018799,Heart Diseases
1562,C0026277,Mixed Salivary Gland Tumor
6965,C0442874,Neuropathy
482,C0009319,Colitis
17627,C4551675,"Keratoderma, Palmoplantar"
5115,C0278607,Adult Leiomyosarcoma
5116,C0278608,Adult Liposarcoma
9205,C1261473,Sarcoma
5264,C0279986,Childhood Leiomyosarcoma
5262,C0279984,Childhood Liposarcoma
1396,C0023827,liposarcoma
17633,C4551687,Sarcoma of soft tissue
1320,C0023269,leiomyosarcoma
5575,C0334463,Malignant Fibrous Histiocytoma
517,C0009782,Connective Tissue Diseases
1541,C0025362,Mental Retardation
15257,C3714756,Intellectual Disability
7352,C0549567,Pigmentation Disorders
522,C0010034,Corneal Diseases
2523,C0079298,Epidermolysis Bullosa Simplex
1932,C0032285,Pneumonia
202,C0004096,Asthma
12528,C1868081,Juvenile Polyposis Coli
3586,C0221273,Juvenile polyp
85,C0002395,Alzheimer's Disease
759,C0014544,Epilepsy
10131,C1378703,Renal carcinoma
7773,C0740457,Malignant neoplasm of kidney
3,C0000768,Congenital Abnormality
10522,C1571983,Involutional paraphrenia
597,C0011574,Involutional Depression
253,C0005587,"Depression, Bipolar"
1481,C0024713,Manic Disorder
10523,C1571984,"Psychosis, Involutional"
5703,C0338831,Manic
2485,C0043119,Werner Syndrome
625,C0011881,Diabetic Nephropathy
3856,C0238461,Anaplastic thyroid carcinoma
2587,C0085215,"Ovarian Failure, Premature"
1917,C0032002,Pituitary Diseases
1766,C0029422,Osteochondrodysplasias
5906,C0342257,Complications of Diabetes Mellitus
615,C0011847,Diabetes
617,C0011849,Diabetes Mellitus
1211,C0021364,Male infertility
842,C0015934,Fetal Growth Retardation
451,C0008677,"Bronchitis, Chronic"
927,C0017612,"Glaucoma, Open-Angle"
5754,C0339573,"Glaucoma, Primary Open Angle"
10408,C1527349,Ductal Breast Carcinoma
8557,C0853879,Invasive carcinoma of breast
1279,C0022680,Polycystic Kidney Diseases
359,C0007193,"Cardiomyopathy, Dilated"
10253,C1449563,"Cardiomyopathy, Familial Idiopathic"
12998,C2363741,HIV-1 infection
8938,C0948089,Acute Coronary Syndrome
7142,C0497327,Dementia
580,C0011265,Presenile dementia
13296,C2711227,Steatohepatitis
830,C0015695,Fatty Liver
79,C0002170,Alopecia
16299,C4049446,Neointimal hyperplasia
1989,C0033770,Prune Belly Syndrome
10743,C1720830,Painful Bladder Syndrome
9237,C1263846,Attention deficit hyperactivity disorder
7916,C0748540,"Scleroderma, Limited"
2307,C0039483,Giant Cell Arteritis
2447,C0042384,Vasculitis
9935,C1334665,Mediastinal Lymphoma
9506,C1292753,Primary Effusion Lymphoma
10445,C1535926,Neurodevelopmental Disorders
7136,C0497156,Lymphadenopathy
5247,C0279702,Conventional (Clear Cell) Renal Cell Carcinoma
10754,C1720983,Channelopathies
2264,C0038454,Cerebrovascular accident
6763,C0410528,Skeletal dysplasia
3499,C0220685,Achondrogenesis type 2
873,C0016667,Fragile X Syndrome
4368,C0266449,Congenital anomaly of brain
10446,C1535939,Pneumocystis jiroveci pneumonia
1092,C0019693,HIV Infections
957,C0018050,Gonadal Disorders
8856,C0878773,Overactive Bladder
17149,C4317224,Congenital disorder of glycosylation type 1q
1647,C0027612,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
2454,C0042514,"Tachycardia, Ventricular"
362,C0007222,Cardiovascular Diseases
12700,C1963943,Atherothrombosis
3796,C0238052,"Xanthomatosis, Cerebrotendinous"
1466,C0024534,"Malaria, Cerebral"
3455,C0206734,Hemangioblastoma
5235,C0279650,Childhood Acute Megakaryoblastic Leukemia
5224,C0279632,Adult Acute Megakaryoblastic Leukemia
16386,C4082937,Necrotizing enterocolitis in fetus OR newborn
3729,C0235782,Gallbladder Carcinoma
9159,C1176475,Ductal Carcinoma
6834,C0431380,Cortical Dysplasia
2087,C0035372,Rett Syndrome
664,C0013336,Dwarfism
5,C0000772,Multiple congenital anomalies
12134,C1859405,Bowen-Conradi syndrome
558,C0010633,Cystadenoma
9094,C1135868,Gestational Trophoblastic Neoplasms
3388,C0206650,Fibroadenoma
4717,C0269102,Endometrioma
10453,C1536148,Chocolate cyst of ovary
12978,C2350344,Chronic Lung Injury
2020,C0034067,Pulmonary Emphysema
6654,C0403809,Primary spermatogenic failure
10575,C1691215,Penile hypospadias
8491,C0848558,Hypospadias
930,C0017638,Glioma
17695,C4551961,Familial Isolated Hyperparathyroidism
6246,C0346647,Malignant neoplasm of pancreas
9102,C1136085,Monoclonal Gammapathies
1566,C0026470,Monoclonal Gammopathy of Undetermined Significance
13037,C2607914,Allergic rhinitis (disorder)
3498,C0220679,"Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified"
1986,C0033626,Protein Deficiency
3747,C0235974,Pancreatic carcinoma
16270,C4048329,Immunosuppression
12877,C2145472,Urothelial Carcinoma
5705,C0338908,Mixed anxiety and depressive disorder
2059,C0035078,Kidney Failure
7080,C0476089,Endometrial Carcinoma
2930,C0153392,Malignant neoplasm of nasopharynx
3834,C0238301,Cancer of Nasopharynx
10554,C1621958,Glioblastoma Multiforme
2306,C0039445,Hereditary hemorrhagic telangiectasia
1057,C0019196,Hepatitis C
12273,C1862596,Familial hypobetalipoproteinemia
3932,C0242231,Coronary Stenosis
2149,C0036421,Systemic Scleroderma
10776,C1739108,Latent Autoimmune Diabetes in Adults
12672,C1960272,Latent autoimmune diabetes mellitus in adult
18028,C4727070,Advanced Carcinoma
840,C0015923,Fetal Alcohol Syndrome
4361,C0266362,Ambiguous Genitalia
3416,C0206686,Adrenocortical carcinoma
5349,C0282160,Aplasia Cutis Congenita
3253,C0175754,Agenesis of corpus callosum
124,C0002895,"Anemia, Sickle Cell"
3379,C0206641,Osteochondromatosis
3479,C0220630,Adult Liver Carcinoma
5183,C0279000,Liver and Intrahepatic Biliary Tract Carcinoma
6171,C0345904,Malignant neoplasm of liver
2847,C0152018,Esophageal carcinoma
789,C0014859,Esophageal Neoplasms
7319,C0546837,Malignant neoplasm of esophagus
2926,C0153381,Malignant neoplasm of mouth
3482,C0220641,Lip and Oral Cavity Carcinoma
3399,C0206663,"Neuroectodermal Tumor, Primitive"
7611,C0684337,Ewings sarcoma-primitive neuroectodermal tumor (PNET)
2577,C0085136,Central Nervous System Neoplasms
8450,C0796250,PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME
6867,C0432072,Dysmorphic features
1576,C0026650,Movement Disorders
5117,C0278619,Extramedullary Plasmacytoma
1780,C0029456,Osteoporosis
3389,C0206651,Clear Cell Sarcoma of Soft Tissue
5596,C0334509,"Clear cell sarcoma, of tendons and aponeuroses"
1592,C0026769,Multiple Sclerosis
1560,C0026269,Mitral Valve Stenosis
722,C0014072,Experimental Autoimmune Encephalomyelitis
7565,C0677886,Epithelial ovarian cancer
12598,C1876187,"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL"
17832,C4693863,"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 2"
17796,C4692564,"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 1"
10515,C1568247,"Usher Syndrome, Type I"
1184,C0020757,Ichthyoses
2532,C0079583,"Ichthyosiform Erythroderma, Congenital"
1185,C0020758,Congenital ichthyosis
4306,C0265962,Ichthyosis linearis circumflexa
573,C0011175,Dehydration
2517,C0079154,Congenital Nonbullous Ichthyosiform Erythroderma
932,C0017658,Glomerulonephritis
2821,C0151721,Testicular hypogonadism
17857,C4703473,Atherosclerotic lesion
1395,C0023817,Hyperlipoproteinemia Type I
17471,C4529962,Fatty Liver Disease
6618,C0400966,Non-alcoholic Fatty Liver Disease
2199,C0037284,Skin lesion
10048,C1336527,"Carcinoma of urinary bladder, superficial"
5243,C0279680,Transitional cell carcinoma of bladder
10812,C1827849,IgE-mediated allergic asthma
2330,C0040100,Thymoma
10373,C1519214,"Glioblastoma, IDH-Mutant"
1084,C0019562,Von Hippel-Lindau Syndrome
5087,C0278488,Carcinoma breast stage IV
5332,C0281361,Adenocarcinoma of pancreas
9983,C1335302,Pancreatic Ductal Adenocarcinoma
1657,C0027662,Multiple Endocrine Neoplasia
2006,C0033860,Psoriasis
3487,C0220650,Metastatic malignant neoplasm to brain
1302,C0023055,Laryngeal neoplasm
4777,C0270855,Early myoclonic encephalopathy
763,C0014550,Myoclonic Epilepsy
10472,C1561643,Chronic Kidney Diseases
2797,C0151449,Primary SjĂśgren's syndrome
10404,C1527336,Sjogren's Syndrome
748,C0014457,Eosinophilia
7678,C0699949,airway disease
9628,C1306759,Eosinophilic disorder
2462,C0042769,Virus Diseases
9220,C1262289,Dysmetabolic syndrome
5930,C0342384,Idiopathic hypogonadotropic hypogonadism
14707,C3489396,"Hypogonadism, Isolated Hypogonadotropic"
1284,C0022735,Klinefelter Syndrome
144,C0003125,Anorexia Nervosa
5953,C0342513,Idiopathic hirsutism
498,C0009447,Common Variable Immunodeficiency
7245,C0524910,"Hepatitis C, Chronic"
4005,C0260037,Multiple tumors
933,C0017661,IGA Glomerulonephritis
4076,C0263628,Tumoral calcinosis
17707,C4551976,HYPOTRICHOSIS 1
11789,C1853256,Hyperostosis-hyperphosphatemia syndrome
4249,C0265354,CHARGE Syndrome
11482,C1846142,HOYERAAL-HREIDARSSON SYNDROME
12298,C1863512,"HYPERCHOLESTEROLEMIA, AUTOSOMAL RECESSIVE"
332,C0007095,Carcinoid Tumor
5529,C0334299,Carcinoid tumor no ICD-O subtype
13806,C2931456,"Prostate cancer, familial"
17988,C4722328,Hereditary Prostate Carcinoma
13368,C2745959,"Spondyloepiphyseal dysplasia, congenita"
7904,C0747845,early pregnancy
10712,C1719495,"Aggressive periodontitis, generalized"
305,C0006271,Bronchiolitis
5796,C0340293,Anterior myocardial infarction
2636,C0085612,Ventricular arrhythmia
5101,C0278517,Non-small cell lung cancer recurrent
1052,C0019163,Hepatitis B
7429,C0577631,Carotid Atherosclerosis
2073,C0035302,Retinal Artery Occlusion
1125,C0020456,Hyperglycemia
10638,C1706004,Anhydrotic Ectodermal Dysplasias
57,C0001768,Agammaglobulinemia
1603,C0026918,Mycobacterium Infections
3180,C0162359,Christ-Siemens-Touraine syndrome
3887,C0239946,"Fibrosis, Liver"
888,C0017075,Ganglioneuroma
5171,C0278878,Adult Glioblastoma
5305,C0280474,Childhood Glioblastoma
13443,C2750078,"Hypophosphatemic Rickets, Autosomal Recessive, 2"
9158,C1175175,Severe Acute Respiratory Syndrome
4867,C0271650,Impaired glucose tolerance
2586,C0085207,Gestational Diabetes
4768,C0270824,Visual seizure
3534,C0220994,Hyperammonemia
2666,C0085740,Mendelson Syndrome
1933,C0032290,Aspiration Pneumonia
17924,C4721414,Mantle cell lymphoma
9518,C1292778,Chronic myeloproliferative disorder
3426,C0206701,"Cystadenocarcinoma, Serous"
5350,C0282193,Iron Overload
3376,C0206638,Giant Cell Tumor of Bone
3476,C0220620,Gastrointestinal Carcinoid Tumor
3004,C0154208,Disorder of endocrine ovary
17850,C4699508,Cardioembolism (high-risk/medium-risk)
71,C0001969,Alcoholic Intoxication
374,C0007570,Celiac Disease
18104,C4745063,Biliary Tract Carcinoma
5643,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
90,C0002514,"Amino Acid Metabolism, Inborn Errors"
