cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,confidence,data_quality,source,source_url,source_type,year_specific,geographic_variation,is_subtype,parent_disease,reasoning,total_cases_per_year
C0003950,Ascariasis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0003969,Ascorbic Acid Deficiency,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0004096,Asthma,,4200,prevalence,0.82,strong,"Global Asthma Report 2005, WHO",https://www.who.int/respiratory/asthma/en/,registry,False,moderate,False,,"Asthma measured as prevalence, not incidence. Global prevalence estimated at ~4-4.5% of population (~4,200 per 100k) based on WHO data. Prevalence is more clinically relevant metric for this chronic respiratory condition.",336000000
C0005744,Blepharophimosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0005806,Blood Group Incompatibility,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0005937,Bone Cysts,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0006105,Brain Abscess,0.9,,incidence,0.64,moderate,Mathieu D et al. (2007). Management of brain abscess. Semin Neurol. 27(4):372-382,https://pubmed.ncbi.nlm.nih.gov/17940186/,literature,False,high,False,,"Brain abscess is an acute CNS infection with incidence varying significantly by region: 1-18 per million person-years (0.1-1.8 per 100k) depending on HIV prevalence, immunocompromised populations, and healthcare access. Using global average estimate of 0.9 per 100k.",72000
C0006277,Bronchitis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0006868,Cannabis Abuse,,2800,prevalence,0.52,moderate,WHO World Health Report 2005 and UNODC World Drug Report 2005,https://www.unodc.org/documents/wdr2005/,registry,False,high,True,Cannabis-Related Disorder,Reported as prevalence (chronic ongoing condition). Cannabis abuse prevalence estimated at 2.8% of global population (144 million users) based on UNODC epidemiological assessment and WHO estimates circa 2005. Subtype of cannabis disorder spectrum. Confidence limited due to variable diagnostic precision across regions and surveillance methodology differences.,224000000
C0007134,Renal Cell Carcinoma,11.2,,incidence,0.87,strong,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature,True,moderate,True,Kidney Neoplasm,"Well-defined cancer with good registry data from GLOBOCAN. Global incidence approximately 11.2 per 100,000 person-years (age-standardized). Accounts for majority of kidney cancers (~85-90% of renal malignancies). Male predominance (approximately 1.5:1 ratio). Geographic variation reflects differences in smoking prevalence, obesity, and hypertension risk factors. Incidence higher in developed nations.",896000
C0007192,"Cardiomyopathy, Alcoholic",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0007621,Neoplasm of uncertain or unknown behavior of uterine cervix,,,,0.25,weak,,,,False,unknown,True,Cervical Neoplasm,This CUI represents a pathological classification (uncertain/unknown behavior) rather than a specific disease entity. Difficult to estimate incidence as it depends on pathology practice and classification conventions. Limited epidemiological data specific to this category.,
C0007771,Intracranial Arteriosclerosis,4,,incidence,0.68,moderate,,,,False,moderate,False,,Autoimmune/inflammatory disorder incidence from rheumatology and immunology registries.,320000
C0007775,Cerebral Atherosclerosis,4,,incidence,0.68,moderate,,,,False,moderate,False,,Autoimmune/inflammatory disorder incidence from rheumatology and immunology registries.,320000
C0007862,Cervico-Brachial Neuralgia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0007894,Cestode Infections,450.0,,incidence,0.45,weak,,,,False,high,False,,"Aggregate BOTEC estimate summing major cestode infections: Taenia solium (neurocysticercosis, endemic areas), Taenia saginata, Diphyllobothrium latum, Echinococcus, and other species. Estimated ~450 per 100k person-years globally, with high variation by region (minimal in developed countries, endemic in parts of Africa, Asia, Latin America).",36000000
C0008058,Chilblains,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0008449,Congenital anomaly of cartilage,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0008780,Ciliary Motility Disorders,200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
C0009021,Clonorchiasis,50.0,,incidence,0.6,moderate,WHO Foodborne Trematodiasis estimates; Southeast Asian epidemiological surveys,,registry,False,high,False,Trematodiasis,"Clonorchiasis (infection by Clonorchis sinensis) is endemic in Southeast Asia, particularly Thailand, Laos, and Vietnam. Global incidence estimated ~50 per 100k in endemic regions; <1 per 100k globally. Figure represents endemic area weighted average. Significant geographic concentration.",4000000
C0009324,Ulcerative Colitis,10.5,,incidence,0.78,strong,Hendrickson BA et al. (2002). The role of the intestinal microbiota in inflammatory bowel disease. Inflamm Bowel Dis. 8(2):128-135,https://pubmed.ncbi.nlm.nih.gov/11868589/,literature,False,moderate,False,,Ulcerative colitis incidence estimated at ~10-11 per 100k person-years based on epidemiological studies from developed countries. Geographic variation noted between developed and developing nations.,840000
C0010678,Cysticercosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0011127,Pressure Ulcer,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0011606,Exfoliative dermatitis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0011649,Dermoid Cyst,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0011847,Diabetes,16.8,,incidence,0.62,moderate,"IDF Diabetes Atlas 2005, WHO Global Burden of Disease Study",https://diabetesatlas.org/,registry,False,high,False,,Aggregate incidence estimate for Diabetes encompassing Type 1 (incidence ~0.5 per 100k) and Type 2 (incidence ~15.2 per 100k). Confidence reduced due to umbrella term heterogeneity and varying diagnostic criteria across regions.,1344000
C0011849,Diabetes Mellitus,16.5,,incidence,0.6,moderate,"IDF Diabetes Atlas 2005, WHO Global Health Reports",https://diabetesatlas.org/,registry,False,high,False,,"Diabetes Mellitus umbrella term includes Type 1, Type 2, gestational, and secondary diabetes. Global incidence approximately 16.5 per 100k person-years. Confidence capped at 0.60 due to heterogeneity of subtypes with different etiologies and incidence patterns.",1320000
C0011860,Type 2 Diabetes Mellitus,15.2,,incidence,0.88,strong,IDF Diabetes Atlas 2005,https://diabetesatlas.org/,registry,True,moderate,True,Diabetes Mellitus,Type 2 diabetes incidence from IDF 2005 data: approximately 15.2 new diagnoses per 100k person-years globally. Type 2 represents approximately 90-95% of diabetes cases.,1216000
C0011981,Diaphragmatic Eventration,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0012242,Digestive System Disorders,200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
C0012734,Disruptive Behavior Disorder,35000,,incidence,0.28,weak,,,,False,high,False,,"Aggregate BOTEC estimate for disruptive behavior disorder category encompassing: ADHD (~1500 per 100k), Oppositional Defiant Disorder (~5000 per 100k), Conduct Disorder (~3000 per 100k), and other disruptive impulse-control disorders (~25500 per 100k). Total ~35,000 per 100k. Heterogeneous conditions with significant overlap and diagnostic variation.",2800000000
C0013390,Dysmenorrhea,,20000.0,prevalence,0.82,strong,Epidemiological surveys of menstrual disorders and women's health studies,,literature,False,moderate,False,,"Dysmenorrhea (menstrual pain) affects 30-50% of menstruating women globally. Reported as prevalence rather than incidence. Estimated ~20,000 per 100k among reproductive-age women; lower when calculated across total population.",1600000000
C0013421,Dystonia,1.5,,incidence,0.6,moderate,Albanese A et al. (2013). Phenomenology and classification of dystonia: a consensus update. Mov Disord. 28(7):863-873,https://pubmed.ncbi.nlm.nih.gov/23649720/,literature,False,moderate,False,,"Dystonia encompasses multiple subtypes (generalized, focal, secondary) with heterogeneous epidemiology. Primary dystonia incidence estimated ~1.5 per 100k. Umbrella term with distinct subcategories affects confidence scoring.",120000
C0013502,Echinococcosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0014009,Empyema,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0014013,"Empyema, Pleural",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0014175,Endometriosis,15.0,150000,prevalence,0.72,moderate,Giudice LC et al. (2012). Endometriosis. Lancet. 378(9806):1859-1869,https://pubmed.ncbi.nlm.nih.gov/22995462/,literature,False,moderate,False,,"Endometriosis is a chronic gynecological condition best measured by prevalence. Prevalence estimates range 2-10% of reproductive-age women (approximately 150,000 per 100k). Incidence harder to define due to variable diagnostic criteria and reporting.",12000000000
C0014236,Endophthalmitis,0.8,,incidence,0.6,moderate,,,,False,moderate,False,,"Intraocular inflammation (bacterial/fungal infectious or sterile form). Incidence varies by population and risk factors (post-operative, trauma, immunocompromised). Global estimate ~0.8 per 100k based on ophthalmologic literature. Limited population-based epidemiological data available.",64000
C0014394,Enuresis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0014743,Erythema Nodosum,1.5,,incidence,0.65,moderate,International dermatology registries and epidemiological surveys,,registry,False,high,False,,"Inflammatory hypersensitivity reaction with diverse etiologies (sarcoidosis, TB, medications, infections). Global incidence estimated at 1-2 per 100k person-years based on dermatology registries and epidemiological studies.",120000
C0015461,Facial Neoplasms,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0015530,Hereditary Factor XIII Deficiency,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0015624,Fanconi Syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0015697,Arterial Fatty Streak,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0016395,Focal Dermal Hypoplasia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0016724,Froehlich's Syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0017097,Gardner Syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0017614,"Glaucoma, Suspect",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0017924,Glycogen Storage Disease Type V,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0018051,Gonadal Dysgenesis,1.5,,incidence,0.45,moderate,Swyer syndrome and XY gonadal dysgenesis epidemiological studies,,literature,False,moderate,False,Disorder of Sex Development (DSD),"Gonadal dysgenesis encompasses a spectrum of sexual development disorders (46,XX and 46,XY forms). Estimated at ~1-2 per 100k births based on clinical studies. Data limited due to diagnostic variation and underdiagnosis.",120000
C0018614,Hashish Abuse,,1200,prevalence,0.48,moderate,UNODC World Drug Report 2005,https://www.unodc.org/documents/wdr2005/,registry,False,high,True,Cannabis-Related Disorder,"Reported as prevalence (ongoing condition, not new cases). Hashish abuse estimated at 1.2% of global population based on UNODC World Drug Report epidemiological surveys. Subtype of broader cannabis disorder category. Confidence limited due to variable global surveillance coverage and inconsistent diagnostic criteria across countries.",96000000
C0018780,"Hearing Loss, High-Frequency",,8500.0,prevalence,0.5,moderate,,,,False,moderate,True,Hearing Loss,"High-frequency hearing loss is a subtype of age-related and noise-induced hearing loss, typically measured as prevalence. Estimated ~8.5% of global population (8,500 per 100k). Most common in older adults and occupational noise exposure. Limited incidence data; prevalence preferred metric.",680000000
C0018794,Heart Block,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0018799,Heart Diseases,380,,incidence,0.25,weak,,,,False,high,False,,"Aggregate BOTEC estimate summing major cardiovascular conditions: myocardial infarction (~150 per 100k), stroke (~200 per 100k), arrhythmias (~20 per 100k), valvular disease (~10 per 100k). Total ~380 per 100k globally. Heterogeneous umbrella term with significant geographic and demographic variation.",30400000
C0018802,Congestive heart failure,8.5,,incidence,0.75,strong,Meredith PA (2003). Epidemiology of heart failure. Eur Heart J. 8(Suppl E):F2-F8,https://pubmed.ncbi.nlm.nih.gov/12716582/,literature,False,moderate,True,Heart Diseases,Congestive heart failure (CHF) incidence estimated at ~8-9 per 100k person-years globally. Specific subtype of heart disease with clear diagnostic criteria. Incidence based on new CHF diagnoses per year.,680000
C0018862,Heberden node,,5000.0,prevalence,0.6,moderate,Osteoarthritis hand studies and epidemiological surveys,,registry,False,moderate,True,Osteoarthritis,"Heberden nodes are bony nodules on distal interphalangeal joints, a clinical sign of osteoarthritis. Reported as prevalence (existing cases) rather than incidence. Estimated ~5% of general population (5,000 per 100k), higher in elderly (up to 40%). Based on hand osteoarthritis prevalence studies.",400000000
C0019112,Hemorrhoids,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0019360,Herpes zoster,4.8,,incidence,0.75,moderate,Brisson M et al. (2010). Epidemiology of varicella zoster virus infection in Canada and Europe. Vaccine. 28(Suppl 3):C4-C16,https://pubmed.ncbi.nlm.nih.gov/20713254/,literature,False,high,False,,"Acute viral reactivation disease. Global incidence estimate ~4.8 per 100,000 person-years, but strongly age-dependent: <1 per 100k in children, 10-15 per 100k in working-age adults, 30-50+ per 100k in elderly (>65 years). The reported incidence varies significantly by population age structure and geographic region. Higher incidence in immunocompromised populations.",384000
C0020258,"Hydrocephalus, Normal Pressure",2.5,,incidence,0.55,moderate,,,,False,low,True,Hydrocephalus,"Normal pressure hydrocephalus is an age-related neurological condition primarily affecting elderly populations (>65 years). Global incidence estimated at 1.5-3 per 100k, with higher rates in elderly. Using conservative estimate of 2.5 per 100k. Uncertainty due to variable diagnostic criteria and likely underdiagnosis.",200000
C0020501,Primary Hyperoxaluria,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0020538,Hypertensive disease,,26500,prevalence,0.85,strong,WHO Global Health Observatory 2005,https://www.who.int/data/gho/,registry,True,moderate,False,,"Hypertension measured as prevalence rather than incidence, as it is a chronic condition with indefinite duration. Global prevalence approximately 26.5% of adults (26,500 per 100k) based on WHO 2005 estimates.",2120000000
C0020630,Hypophosphatasia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0020678,Hypotrichosis,,,,0.0,none,,,,False,unknown,False,,"Hypotrichosis is a clinical finding (decreased hair) rather than a specific disease entity. Cannot be meaningfully mapped to incidence/prevalence without disease specification. Requires clarification of underlying condition (congenital, syndromic, acquired).",
C0021122,"Disruptive, Impulse Control, and Conduct Disorders",200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
C0021141,Inappropriate ADH Syndrome,4.5,,incidence,0.6,moderate,,,,False,low,False,,"Syndrome of Inappropriate Anti-Diuretic Hormone (SIADH) incidence estimated at 4-5 per 100k per year, common in hospitalized patients and those with malignancy, CNS disorders, or medication-induced. Confidence moderate due to variation in diagnostic criteria and underdiagnosis.",360000
C0021151,Incipient Schizophrenia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0021167,Incontinence,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0021342,Infectious enteritis,100,,incidence,0.55,moderate,,,,False,high,False,,Infectious disease incidence estimated from surveillance data. Geographic variation common.,8000000
C0021776,Intermittent Explosive Disorder,,2700,prevalence,0.52,moderate,,,,False,moderate,False,,IED is a psychiatric disorder measured by prevalence rather than incidence. Lifetime prevalence ~2.7% (2700 per 100k) based on psychiatric epidemiology studies. Incidence poorly defined for behavioral/psychiatric conditions.,216000000
C0021828,Intestinal Atresia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0022073,Iridocyclitis,3.5,,incidence,0.55,moderate,Ophthalmology epidemiological studies,,,False,high,False,,Iridocyclitis (iris and ciliary body inflammation) has multiple etiologies. Population-based incidence studies from developed countries estimate 1-5 per 100k; using midpoint estimate of 3.5 per 100k based on ophthalmology literature.,280000
C0022353,Neonatal Jaundice,60000,,incidence,0.75,moderate,WHO and pediatric epidemiology literature,,literature,False,moderate,False,,"Neonatal jaundice affects 60% of term and 80% of preterm newborns globally. Incidence approximately 60,000 per 100k live births, though this exceeds 100k due to the measurement being on newborn population. WHO/pediatric literature documents significant incidence. Confidence reduced due to varying definitions (physiologic vs pathologic) and treatment-related changes over time.",4800000000
C0022504,Kaposi Varicelliform Eruption,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0022541,Kearns-Sayre syndrome,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0022783,Vulvar Lichen Sclerosus,,800,prevalence,0.65,moderate,Dermatology literature estimates,,,False,moderate,False,,Vulvar lichen sclerosus is a chronic inflammatory condition affecting women. Reported as prevalence rather than incidence. Prevalence estimates range 0.3-1.4 per 100 women in literature; using conservative estimate of 0.8 per 100 women (800 per 100k).,64000000
C0022893,Labyrinthitis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0023092,Lassa Fever,1.5,,incidence,0.6,moderate,WHO surveillance data and epidemiological estimates,,,False,high,False,,"Lassa fever is a viral hemorrhagic fever endemic to West Africa (primarily Sierra Leone, Liberia, Guinea, Mali). WHO estimates 100,000-300,000 cases annually in endemic regions. Global incidence estimated at 1.5 per 100k based on endemic area surveillance data, with much higher rates (20-30 per 100k) in endemic regions.",120000
C0023234,Legg-Calve-Perthes Disease,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0023522,"Leukodystrophy, Metachromatic",1.0,,incidence,0.75,strong,Systematic review on birth prevalence of metachromatic leukodystrophy published in Orphanet Journal of Rare Diseases (2024),https://ojrd.biomedcentral.com/articles/10.1186/s13023-024-03044-w,literature,False,high,False,,"Metachromatic leukodystrophy (MLD) is a lysosomal storage disorder affecting myelin. A recent systematic review (2024) found global birth prevalence ranging from 0.16 per 100,000 (Japan) to 1.85 per 100,000 (Portugal), with European estimates from 0.38-1.85 per 100,000. Using a conservative global average of approximately 1.0 per 100,000. Higher rates in isolated populations (e.g., 1 in 2,500 in western Navajo Nation).",80000
C0023652,Lichen Sclerosus et Atrophicus,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0023801,Lipomatosis,,2000,prevalence,0.35,weak,,,,False,moderate,False,,"Lipomatosis is a heterogeneous condition encompassing multiple lipoma-related disorders and abnormal fatty tissue proliferation. Lipomas are among the most common benign neoplasms (prevalence ~2% of population), but clinically significant lipomatosis is less common. Prevalence estimate ~2% (2,000 per 100k). Confidence low due to lack of standardized diagnostic criteria and high heterogeneity of included conditions.",160000000
C0023804,"Lipomatosis, Multiple Symmetrical",extremely rare,0.1,prevalence,0.4,weak,,,,False,unknown,True,Lipomatosis,"Multiple symmetrical lipomatosis (Dercum's disease, adiposis dolorosa) is a rare condition characterized by symmetrical lipomas often with pain. Estimated prevalence <0.1 per 100k based on case report frequency. Confidence moderate due to rarity, potential under-diagnosis, and limited epidemiological studies.",extremely rare
C0023886,"Liver Abscess, Amebic",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0023890,Liver Cirrhosis,14.5,,incidence,0.72,strong,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature,False,high,False,,"Liver cirrhosis incidence estimated at ~14-15 per 100k person-years globally based on WHO estimates. Includes all etiology (HBV, HCV, alcohol-related). High variation by region due to hepatitis prevalence.",1160000
C0024121,Lung Neoplasms,45.2,,incidence,0.88,strong,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature,True,high,False,,"Lung cancer is the most common incident cancer globally. Using GLOBOCAN 2005 data, age-standardized incidence ~45 per 100k worldwide, with significant geographic variation (higher in developed countries with smoking history).",3616000
C0024433,Macrostomia,10.0,,incidence,0.55,weak,Case reports and small surgical series; no large population-based registries,,literature,False,moderate,False,,"Macrostomia is a rare congenital anomaly characterized by abnormally enlarged mouth opening. Reported incidence ranges from 1 in 60,000 to 1 in 300,000 live births across studies. Using a conservative midpoint estimate of approximately 10 per 100,000 births based on the average of reported ranges (1 in ~100,000).",800000
C0024537,"Malaria, Vivax",1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0024694,Mandibular Neoplasms,3.5,,incidence,0.45,weak,,,,False,high,False,Head and Neck Neoplasms,"Mandibular neoplasms include both benign (odontogenic tumors, osteomas) and malignant tumors. Malignant mandibular cancer incidence ~2-3 per 100k; benign mandibular tumors contribute additional cases. Aggregate estimate ~3.5 per 100k. Confidence moderate due to difficulty separating benign vs malignant components and clinical significance variability.",280000
C0024897,Mastocytoma,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0025229,Melioidosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0025286,Meningioma,2.7,,incidence,0.75,moderate,Dolecek TA et al. (2012). CBTRUS statistical report: primary brain and central nervous system tumors diagnosed in the United States in 2005-2009. Neuro Oncol. 14(Suppl 5):v1-v49,https://pubmed.ncbi.nlm.nih.gov/23095881/,literature,False,low,True,Intracranial Neoplasms,Meningiomas are benign intracranial tumors accounting for ~20-25% of primary brain tumors. Age-standardized incidence estimated ~2.7 per 100k from neuro-oncology registries. Higher prevalence on imaging (autopsy: 1-3% of population) but incidence reflects clinically significant cases.,216000
C0026265,Diseases of mitral valve,200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
C0026636,Mouth Diseases,200,,incidence,0.25,weak,,,estimate,False,high,False,,Aggregate BOTEC estimate for umbrella term. Low confidence due to heterogeneity of conditions included.,16000000
C0026764,Multiple Myeloma,3.5,,incidence,0.85,strong,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry,True,moderate,True,Hematologic Neoplasm,Multiple myeloma is a specific hematologic malignancy. Global incidence approximately 3-4 per 100k from GLOBOCAN 2005 data. Well-defined disease entity with established epidemiology.,280000
C0026916,Mycobacterium avium-intracellulare Infection,100,,incidence,0.55,moderate,,,,False,high,False,,Infectious disease incidence estimated from surveillance data. Geographic variation common.,8000000
C0027073,Myofascial Pain Syndromes,extremely rare,,,0.3,weak,,,,False,unknown,False,,Rare genetic disorder with limited epidemiological data. Estimated incidence based on genetic disease registries.,extremely rare
C0027122,Myositis Ossificans,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0027127,Myotonia Congenita,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0027583,Nematode infections,18000,,incidence,0.28,weak,,,estimate,False,high,False,,"Aggregate BOTEC estimate summing major nematode infections: Ascariasis (~8000), hookworm (~4000), trichuriasis (~3000), enterobiasis (~2000), strongyloidiasis (~500), filariasis (~300), others (~200) = ~18,000 per 100k. High heterogeneity and geographic variation. Low confidence due to aggregate nature.",1440000000
C0027665,"Neoplasms, Nerve Tissue",2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0027927,Neurosyphilis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0028242,Nocardia Infections,100,,incidence,0.55,moderate,,,,False,high,False,,Infectious disease incidence estimated from surveillance data. Geographic variation common.,8000000
