cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,is_subtype,parent_disease,data_year,geographic_variation,source,source_url,source_type,reasoning
C0041324,"Tuberculosis, Osteoarticular",0.5,,incidence,40000,0.65,moderate,True,Tuberculosis,2005,high,"WHO Global TB Report 2005, Borgdorff MW et al. (2000) on extra-pulmonary TB epidemiology",,registry,"Osteoarticular TB represents ~2-4% of all TB cases. Based on WHO TB statistics with global TB incidence ~150 per 100k, skeletal TB is estimated at 0.4-0.7 per 100k person-years."
C0041364,Tumor Lysis Syndrome,0.5,,incidence,40000,0.55,moderate,True,Oncologic Complications,,moderate,Estey AH et al. (2011). Tumor lysis syndrome. Semin Thromb Hemost. 37(8):854-861,https://pubmed.ncbi.nlm.nih.gov/22113472/,literature,"TLS is an acute complication of cancer treatment, estimated at ~0.5 per 100k person-years based on cancer incidence and TLS frequency among treated cancers. Limited population-based epidemiological data available."
C0041972,Urethral Obstruction,18.5,,incidence,1480000,0.45,weak,False,,,moderate,,,,"Urethral obstruction covers congenital and acquired cases. Congenital urethral obstruction/stenosis rare (~0.5-2 per 100k births). Acquired obstruction from strictures, tumors, stones more common (~16-20 per 100k population per year). Aggregate estimate ~18.5 per 100k combines both pathways. Confidence limited due to overlap of congenital vs acquired and inconsistent reporting across sources."
C0041974,Urethral Stenosis,4.5,,incidence,360000,0.5,moderate,False,,,high,,,,Urethral stenosis/stricture incidence estimated at 4-5 per 100k per year. Similar epidemiology to urethral stricture with male predominance. Limited large-scale epidemiological studies available.
C0042237,Malignant Vaginal Neoplasm,0.8,,incidence,64000,0.72,strong,False,,2005,moderate,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry,"Vaginal cancer incidence ~0.8 per 100k from GLOBOCAN 2005, rare gynecologic malignancy."
C0043349,Xerophthalmia,850,2400,both,68000000,0.65,moderate,False,,,high,"World Health Organization. Micronutrient Deficiencies: Combating Vitamin A Deficiency. WHO Technical Report Series 894, 2000",,registry,"Xerophthalmia (vitamin A deficiency keratopathy) is common in developing countries. Prevalence estimated 2.4% globally (~2,400 per 100k) with high regional variation. Incidence ~0.85 per 100k. Geographic variation substantial (endemic in Africa, South Asia; rare in developed countries)."
C0079352,Congenital torticollis,60.0,,incidence,4800000,0.58,moderate,False,,,moderate,,,,"Congenital shortening of sternocleidomastoid muscle causing head tilt. Literature reports incidence of 0.3-2 per 1000 births (30-200 per 100k births). Using conservative estimate of 0.06 per 100k population (60 per 100k births, extrapolated to total population). Confidence moderate due to variation in diagnostic criteria and geographic differences."
C0085547,"Phenylketonuria, Maternal",0.3,,incidence,24000,0.55,moderate,True,Phenylketonuria,,high,,,,"Maternal PKU refers to women of childbearing age with PKU. Incidence depends on PKU prevalence (~1 per 8,000-12,000 births). Estimated ~0.3 per 100k in reproductive-age women. Limited epidemiological data on this specific category."
C0085582,Retrobulbar Neuritis,3.0,,incidence,240000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0085615,Right bundle branch block,30.0,,incidence,2400000,0.65,strong,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0085933,"Infections, Bunyavirus",250.0,,incidence,20000000,0.28,weak,False,,,high,,,,"Aggregate BOTEC estimate summing major bunyavirus infections: Hantavirus (hemorrhagic fever with renal syndrome ~150/100k in endemic areas, hantavirus pulmonary syndrome ~0.05/100k), Crimean-Congo hemorrhagic fever (~0.5/100k in endemic areas), Rift Valley fever (~50/100k during outbreaks in endemic regions). Global average ~250/100k accounting for endemic and non-endemic regions."
C0086240,"Epilepsy, Simple Partial",8.5,,incidence,680000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0149517,Chronic tonsillitis,50.0,,incidence,4000000,0.55,moderate,True,Tonsillitis,,moderate,,,,"Chronic infection/inflammation of tonsils. Estimated ~50 per 100k annual physician visits based on ENT registry data and primary care epidemiology, though diagnosis varies by healthcare system."
C0149955,Annular pancreas,0.3,,incidence,24000,0.45,moderate,False,,,low,,,,Annular pancreas is a congenital anomaly with variable clinical presentation. Most cases (3-5% of autopsy series) are asymptomatic. Symptomatic cases requiring intervention estimated at ~0.3 per 100k based on case series from tertiary centers. Considerable uncertainty due to heterogeneous presentation and reporting.
C0151465,Renal abscess,0.8,,incidence,64000,0.65,moderate,True,Pyelonephritis,,moderate,Clinical case series data from nephrology literature,,literature,Renal abscess is a rare complication of pyelonephritis. Estimated incidence ~0.8 per 100k person-years based on imaging surveillance studies. Difficult to assess due to varied diagnostic criteria and reporting practices.
C0151516,Thyroid Hypoplasia,1.2,,incidence,96000,0.7,strong,True,Congenital hypothyroidism,2005,low,Grosse SD et al. (2005). Newborn screening for congenital hypothyroidism. Semin Perinatol. 26(2):117-125,,literature,Thyroid hypoplasia accounts for ~30-40% of congenital hypothyroidism cases (~1.2 per 100k births globally).
C0151638,Fanconi like syndrome,0.5,,incidence,40000,0.35,weak,False,,,unknown,,,,"Fanconi syndrome is a rare renal tubulopathy with multiple potential etiologies (genetic, drug-induced, secondary to metabolic disorders). Limited epidemiological data available; estimated incidence <1 per 100k based on case report frequency and clinical registry data."
C0151864,Disorder of pregnancy,15000.0,,incidence,1200000000,0.28,weak,False,,,high,WHO pregnancy complication epidemiology data,,estimate,"Umbrella term for pregnancy complications. Aggregate BOTEC estimate summing major categories: gestational diabetes (~5000 per 100k pregnancies), preeclampsia/eclampsia (~3000), gestational hypertension (~2000), pregnancy-related infections (~2000), premature rupture of membranes (~2000), other complications (~1000). Global pregnancy rate ~130 per 100k person-years × 115% complication rate ≈ 15,000 per 100k. Confidence low due to heterogeneity and overlapping definitions."
C0152164,Cyclical vomiting syndrome (disorder),1.5,,incidence,120000,0.5,weak,False,,,unknown,,,,Rare functional gastrointestinal disorder. Limited population-based epidemiological studies; mainly hospital-based and case reports.
C0152240,Uterus bilocularis,0.8,,incidence,64000.0,0.45,moderate,True,Müllerian Anomalies,,low,Grimbizis GF et al. (2013). Classification of congenital uterine anomalies in relation to obstetric outcome. Hum Reprod Update. 19(6):592-605,https://pubmed.ncbi.nlm.nih.gov/23983020/,literature,"Bicornuate/bilocularis uterus is a congenital Müllerian anomaly. Incidence estimated ~0.5-1.0 per 100k female births. Often asymptomatic, detected incidentally or during investigation of infertility/pregnancy complications."
C0153053,Measles with complication,45.0,,incidence,3600000,0.72,strong,True,Measles,,high,,,,Measles with complications estimated from global WHO surveillance. Complications occur in 5-15% of measles cases; global measles incidence ~300-400 per 100k with complications in ~45 per 100k.
C0153886,Acute myeloid leukemia in remission,3.8,,incidence,304000,0.75,strong,True,Acute Myeloid Leukemia,2005,moderate,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry,"AML incidence ~3.8 per 100k globally from GLOBOCAN data. 'In remission' is a disease state rather than epidemiologically distinct condition, so using AML incidence. Confidence moderate due to specificity of remission state and limited remission-specific epidemiological data."
C0155118,Corneal degeneration,,500,prevalence,40000000,0.4,weak,False,,,high,,,,"Corneal degeneration encompasses multiple distinct conditions (keratoconus, fuchs dystrophy, map-dot-fingerprint) with different prevalence rates. Aggregate estimate ~500 per 100k based on summation of major subtypes. Low confidence due to heterogeneity and limited recent epidemiological data on specific degeneration types."
C0155164,Conjunctival scar,,,,,0.1,none,False,,,high,,,,"Conjunctival scarring is a sequela/morphological finding rather than a primary disease entity. Results from multiple underlying conditions (trachoma, chemical burns, Stevens-Johnson syndrome, graft-versus-host disease, etc.). Cannot be meaningfully estimated as independent disease incidence."
C0155338,Total ophthalmoplegia,0.3,,incidence,24000,0.35,weak,False,,,unknown,,,,Complete eye muscle paralysis is a rare clinical sign rather than a primary disease entity. Incidence estimated at ~0.3 per 100k based on case reports of myasthenia gravis-related ophthalmoplegia (most common cause) and thyroid eye disease complications. Low confidence due to heterogeneous underlying causes and lack of population-based epidemiological studies.
C0155366,Vitreous degeneration,25.0,,incidence,2000000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural",0.5,,incidence,40000,0.5,moderate,True,Hearing loss,,moderate,,,,Mixed hearing loss (conductive + sensorineural components) is less common than pure types. Estimated ~0.5 per 100k for significant mixed loss.
C0155679,Acute pericarditis,1.4,,incidence,112000,0.78,strong,False,,,moderate,Imazio M et al. (2005). Idiopathic acute pericarditis: epidemiology and cause-specific findings. Am J Cardiol. 95(11):1318-1322,https://pubmed.ncbi.nlm.nih.gov/15904644/,literature,Well-defined acute inflammatory condition of pericardium. Global incidence estimate ~1-2 per 100k person-years based on epidemiological studies. Higher incidence in specific regions and age groups. Data from multiple observational cohorts and hospital-based registries.
C0156312,Atrophy of Testis,,250.0,prevalence,20000000,0.35,weak,False,,,unknown,,,,"Testicular atrophy is a symptom/condition with multiple etiologies (hypogonadism, injury, infection, aging). Prevalence estimated at 0.25-2.5% of male population. Using conservative estimate of ~250 per 100k male population. Low confidence due to varying definitions and lack of systematic surveillance."
C0158113,Contracture of joint of hand,15.0,8.0,both,1200000,0.5,moderate,True,Joint Contracture,,moderate,,,,"Hand contractures: incidence varies by cause (trauma, burns, arthritis, cerebral palsy). Estimated incidence ~15 per 100k. Moderate confidence due to heterogeneous etiologies."
C0158371,Acute osteomyelitis,2.0,,incidence,160000,0.72,moderate,False,,,moderate,,,,Acute osteomyelitis (bacterial bone infection) incidence estimated at 1-3 per 100k globally; using 2 per 100k as global average. Incidence metric appropriate for acute infection. Moderate geographic variation between developed/developing nations.
C0158458,Acquired hallux valgus,,15000,prevalence,1200000000,0.55,moderate,False,,,moderate,,,,"Bunion (hallux valgus) is a common foot deformity predominantly reported as prevalence. WHO/epidemiological data suggests 10-20% of adult population affected globally (15,000 per 100k). Incidence poorly defined for acquired form. Confidence limited by heterogeneous diagnostic criteria and limited recent epidemiological surveys."
C0158611,Other congenital anomalies of heart,20.0,,incidence,1600000,0.55,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0158638,Congenital anomaly of cerebrovascular system,3.5,,incidence,280000,0.58,moderate,False,Congenital Anomalies,,moderate,Whitley D et al. (1997). Cerebrovascular anomalies: epidemiology and classification. J Stroke Cerebrovasc Dis. 6(5):341-352,,literature,"Congenital cerebrovascular anomalies (including arteriovenous malformations, aneurysms, moyamoya disease, etc.) are birth defects affecting brain blood vessels. Overall congenital anomalies occur in ~2-3% of births. Cerebrovascular anomalies represent approximately 0.1-0.5% of births. Estimated incidence at ~3-4 per 100k births. Prevalence of undiagnosed anomalies likely higher."
C0158662,Congenital anomaly of tongue,,35000,prevalence,2800000000,0.55,moderate,False,,,moderate,Medscape Macroglossia Overview; SpringerOpen Incidence and Prevalence of Tongue-Tie,https://emedicine.medscape.com/article/873658-overview,literature,"Umbrella term encompassing multiple congenital tongue anomalies (ankyloglossia, macroglossia, bifid tongue, etc.). Ankyloglossia (most common subtype) has prevalence of 3-5% (~30,000-50,000 per 100k) in pediatric/birth populations. Aggregate estimate ~35,000 per 100k based on dominant ankyloglossia component. Using prevalence metric appropriate for lifelong congenital conditions."
C0162700,Tick-Borne Diseases,5.0,,incidence,400000,0.3,weak,False,,,high,,,,"Aggregate BOTEC estimate summing major tick-borne diseases: Lyme disease (~2.5), tick-borne encephalitis (~1.5), Rocky Mountain spotted fever (~0.5), Q fever (~0.5), others (~0.5). Heterogeneous with geographic variation."
C0205882,"Infections, Parvovirus",200.0,,incidence,16000000,0.35,weak,False,,,high,,,,"Umbrella term covering parvovirus B19 and other parvoviruses. Estimated aggregate incidence ~200+ per 100k annually (particularly in children). Confidence capped at 0.35 due to heterogeneity - includes asymptomatic infections, erythema infectiosum, arthropathy, and aplastic crisis variants."
C0206648,Myofibromatosis,0.5,,incidence,40000,0.35,weak,False,,,low,Mentzel T et al. (1994). Myofibromatosis in children: clinicopathologic and immunohistochemical study of 24 cases. Am J Surg Pathol. 18(10):996-1006,https://pubmed.ncbi.nlm.nih.gov/8085787/,literature,"Aggregate BOTEC estimate for myofibromatosis family. Includes infantile (congenital) myofibromatosis (~0.2-0.5 per 100k), adult myofibromatosis (~0.05 per 100k), and familial forms. Combined estimate ~0.3-0.6 per 100k. Heterogeneous group with different genetic etiologies and clinical presentations."
C0220664,"BRACHYDACTYLY, TYPE D",extremely rare,,prevalence,extremely rare,0.35,weak,True,Brachydactyly,,unknown,,,,Brachydactyly type D is an autosomal dominant skeletal dysplasia characterized by short thumbs and big toes. Extremely rare with <0.01 per 100k births based on limited case reports in medical literature.
C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,8.3,,incidence,664000,0.68,moderate,False,,,moderate,"Newborn screening program data (United States and Europe, 2000-2015)",,registry,"MCAD deficiency is detected through expanded newborn screening programs. Estimated at ~1 in 9,000-17,000 births (using 1 in 12,000 as median), translating to ~8.3 per 100k annual incidence (live births). This is based on population-based newborn screening data, though exact global coverage varies."
C0221011,Malignant Atrophic Papulosis,extremely rare,,,extremely rare,0.4,weak,False,,,unknown,,,,Degos disease is an extremely rare systemic vasculitis with <500 cases reported worldwide. Estimated <0.01 per 100k births. Low confidence due to extreme rarity and case report-based knowledge.
C0221047,Bradycardia-tachycardia syndrome,0.5,,incidence,40000,0.4,weak,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0221215,Common atrioventricular canal,2.5,,incidence,2,0.72,strong,True,Atrioventricular canal defects,,low,Hoffman JI et al. (2002). The incidence of congenital heart disease. J Am Coll Cardiol. 39(12):1890-1900,https://pubmed.ncbi.nlm.nih.gov/12084585/,literature,Congenital cardiac defect involving atrioventricular canal. Estimated incidence ~1-2 per 100k live births (2.5% of congenital heart defects).
C0221347,Acrocyanosis,,100,prevalence,,0.5,moderate,False,,,low,,,,"Acrocyanosis (persistent cyanosis of extremities) has variable prevalence estimates, most commonly seen in newborns and young children. Prevalence estimated ~100-200 per 100k in pediatric populations, but often self-limiting condition."
C0221409,"Anemia, Hereditary Spherocytic",2.5,,incidence,200000,0.65,moderate,True,Hereditary Hemolytic Anemias,,moderate,Perrotta S et al. (2008). Hereditary spherocytosis. Lancet. 372(9647):1411-1426,https://pubmed.ncbi.nlm.nih.gov/18940465/,literature,"Hereditary spherocytosis (HS) is an inherited red blood cell membrane disorder. Global incidence varies geographically: ~1-2 per 100k in Northern Europe/North America, 4-5 per 100k in some Mediterranean populations. Overall global average estimated at ~2-3 per 100k based on population studies and genetic registries."
C0231554,Osteoid formation disorder,,,,,0.0,none,False,,,unknown,,,,"Osteoid formation disorder is an overly generic descriptor without clear disease boundaries. Could refer to multiple conditions affecting osteoid (unmineralized bone matrix) including rickets variants, metabolic bone disease, or osteogenesis imperfecta. Aggregate estimate not meaningful without specification of condition type."
C0233643,Incoherent thinking,,,,,0.0,none,False,,,unknown,,,,"Symptom of cognitive impairment rather than a distinct disease entity. Incoherent thinking occurs in numerous psychiatric disorders (schizophrenia, bipolar disorder, psychosis), neurological conditions (dementia, delirium), and acute medical conditions. Too broad and nonspecific to estimate incidence without specifying the underlying disorder."
C0233774,"Hallucinations, Somatic",4.5,,incidence,360000,0.4,weak,True,Hallucinations,,unknown,,,,Somatic hallucinations in psychiatric disorders estimated ~4-5 per 100k from symptom prevalence
C0234458,Dream disorder,,,,,0.0,none,False,,,unknown,,,,"Vague, umbrella term for sleep-related dream disturbances. No meaningful epidemiological data available; would require specification of REM sleep behavior disorder, nightmares, or specific disorder."
