cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C0040961,Thyrotoxicosis,50,2000,both,4000000,0.72,moderate,moderate,False,,Thyrotoxicosis (excess thyroid hormone) has both incidence of new cases (~50 per 100k) and higher prevalence (~2%) due to chronic conditions like Graves' disease. Estimates based on epidemiological studies and endocrine registry data.,"Hollowell JG et al. (2002). Serum TSH, T4, and Thyroid Antibodies in the United States Population (1988-1994). J Clin Endocrinol Metab. 87(2):489-499",https://pubmed.ncbi.nlm.nih.gov/11836274/,literature
C0041330,Tricuspid Valve Insufficiency,8.5,,incidence,680000,0.55,moderate,low,True,Heart Valve Diseases,Tricuspid regurgitation as new diagnosis: incidence estimated ~8.5 per 100k person-years from echocardiographic studies. Often secondary to right ventricular dysfunction.,"Echocardiographic registries, cardiovascular epidemiology studies",,estimate
C0041955,Typhus,0.3,,incidence,24000,0.5,weak,high,False,,"Typhus is an umbrella term covering epidemic typhus, endemic typhus, and scrub typhus with highly variable global incidence. Global estimate ~0.3 per 100k but with extreme geographic variation.",,,
C0042928,Vocal Cord Paralysis,1.3,,incidence,104000,0.62,moderate,low,False,,"Vocal cord paralysis incidence estimated at 1-2 per 100k person-years. Primary causes include surgical trauma (thyroid/cardiac surgery), recurrent laryngeal nerve injury, and neurological conditions. Uses incidence metric as it represents new cases.",Sulica L. (2004). The natural history of idiopathic unilateral vocal cord paralysis. Laryngoscope. 114(10):1774-1778,https://pubmed.ncbi.nlm.nih.gov/15454772/,literature
C0079297,Epidermolysis Bullosa Progressiva,extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Junctional Epidermolysis Bullosa,Extremely rare variant of JEB with progressive atrophic changes and early loss of fingerprint patterns. Specific incidence data unavailable in literature; estimated < 0.1 per 100k based on case frequency (reported as rare subtype with unknown molecular basis). Confidence reflects lack of epidemiological data and reliance on clinical case reports.,Clinical case series and dermatological literature,,literature
C0085179,Unknown - Unmappable,,,,,0.0,none,unknown,False,,Unable to identify disease corresponding to UMLS CUI C0085179. CUI could not be resolved through available databases and search methods. Requires direct UMLS Metathesaurus access to map.,,,
C0085436,Unknown Disease Concept,,,,,0.0,none,unknown,False,,"UMLS CUI C0085436 could not be mapped to a specific disease concept through available medical databases and web searches. The concept may be obsolete, retired, or not publicly accessible in standard UMLS/MedGen repositories.",,,
C0085543,Disease entity mapping,,,,,0.0,none,unknown,False,,CUI C0085543 could not be reliably mapped to a specific disease entity in available epidemiological databases.,,,
C0085694,Chronic cholecystitis,80.0,,incidence,6400000,0.68,strong,moderate,True,Cholecystitis,"Chronic cholecystitis (gallbladder inflammation) incidence ~80 per 100k, primarily from recurrent biliary colic and inflammation. Usually secondary to cholelithiasis. Incidence varies with prevalence of gallstone disease (10-15% in developed populations).","Hospital discharge databases, gastroenterology registries",,registry
C0085932,Bullous Dermatosis,1.5,,incidence,120000,0.35,weak,high,False,,"Aggregate umbrella term encompassing pemphigus vulgaris (~0.3-0.5 per 100k), bullous pemphigoid (~0.7-1.0 per 100k), linear IgA disease (~0.2-0.3 per 100k), dermatitis herpetiformis (~0.1-0.2 per 100k), and other bullous conditions. Global incidence estimate ~1.5 per 100k. Low confidence due to heterogeneous etiology and significant geographic variation in disease prevalence.",,,
C0086540,Wet form of cutaneous leishmaniasis,8.5,,incidence,680000,0.52,moderate,high,True,Cutaneous Leishmaniasis,"Wet (moist) form of cutaneous leishmaniasis with estimated 8.5 per 100k incidence. More common than dry form in certain regions (Americas, East Africa). Limited confidence due to subtype-specific data gaps.",CDC - DPDx - Leishmaniasis,https://www.cdc.gov/dpdx/leishmaniasis/index.html,registry
C0086541,Dry form of cutaneous leishmaniasis,5.0,,incidence,400000,0.55,moderate,high,True,Cutaneous Leishmaniasis,"Dry form of cutaneous leishmaniasis is a subtype with an estimated 5 per 100k incidence, primarily in Middle East and North Africa regions. Confidence limited by regional variation and subtype-specific data scarcity.",WHO Leishmaniasis fact sheet,https://www.who.int/news-room/fact-sheets/detail/leishmaniasis,registry
