cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C4707092,Distal 17p13.3 Microdeletion Syndrome,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Chromosome 17 Disorders,Rare chromosomal microdeletion syndrome with fewer than 20 cases reported in medical literature. Estimated incidence <0.01 per 100k births based on cytogenetic database frequency. No population-based epidemiological studies available.,,,
C1838162,Mesomelia-Synostoses Syndrome,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Skeletal Dysplasia,Rare genetic skeletal dysplasia characterized by mesomelic limb shortening and joint fusion. Fewer than 5 families reported in medical literature. Estimated incidence <0.01 per 100k births; no systematic epidemiological data available.,,,
C3280501,"Inflammatory Skin and Bowel Disease, Neonatal, 1",extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Inflammatory Bowel Disease,ISBD-1 is a rare neonatal-onset monogenic inflammatory bowel disease caused by mutations in immune-related genes. Fewer than 15 cases reported in literature. Estimated incidence <0.001 per 100k births; predominantly described in case reports from tertiary referral centers.,,,
C4744548,Metastatic Esophageal Carcinoma,4.5,,incidence,360000,0.45,moderate,high,True,Esophageal Cancer,"Metastatic esophageal carcinoma represents late-stage disease; ~40-50% of esophageal cancers present with metastatic spread at diagnosis. Global esophageal cancer incidence approximately 10-15 per 100k, with ~40-50% metastatic at presentation yields ~4-5 per 100k. Data limited to advanced stage estimates; no specific registry data for metastatic-only cases.",,,
C3150901,Disease entity C3150901,,,,,0.0,none,unknown,False,,CUI not found in epidemiological database. Unable to map to incidence or prevalence data.,,,
C1846790,JOUBERT SYNDROME 4 (disorder),0.1,,incidence,8000,0.35,weak,low,True,Joubert Syndrome,"Rare ciliopathy with cerebellar vermis hypoplasia. Estimated incidence ~1 in 100,000 births or 0.1 per 100k annually.",,,
C2745997,,extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Orofaciodigital Syndrome,OFD syndrome type VI is extremely rare genetic disorder; <10 families reported. Incidence <0.001 per 100k births.,,,
C0272173,Myelokathexis,extremely rare,,,extremely rare,0.3,weak,unknown,True,Immunodeficiency with hypereosinophilia,Myelokathexis is an extremely rare congenital immunodeficiency with neutropenia. Fewer than 100 cases reported worldwide. <0.01 per 100k births.,,,
C0394996,Acute alcoholic intoxication,110,,incidence,8800000,0.75,moderate,moderate,False,,Acute condition with incidence reported from Swedish nationwide register study (2009-2018) showing ~110 per 100k person-years in males and ~49 per 100k in females. Using male rate as global estimate. Alcohol intoxication is most frequent alcohol-related disorder in emergency care settings. Confidence limited by year-specific data and gender variation.,Swedish nationwide register study documenting alcohol-related disorders incidence 2009-2018,https://pubmed.ncbi.nlm.nih.gov/32549797/,registry
C3149265,Parotid oncocytoma,0.05,,incidence,4000,0.45,weak,unknown,True,Salivary gland neoplasm,Parotid oncocytoma represents approximately 0.05-1% of all salivary gland tumors with estimated incidence of ~0.05 per 100k. Peak incidence in 6th-8th decades. Data derived from small case series and institutional reviews; incidence estimates are sparse and based on tumor prevalence rather than systematic epidemiological tracking. Confidence limited by rarity and lack of population-based incidence studies.,Institutional salivary gland tumor case reviews and pathology literature,,literature
C0747479,Periodontal infection,936,62000,both,74880000,0.72,strong,high,False,,"Periodontal infection is a chronic condition best measured by prevalence, but incidence data also available. Prevalence of periodontitis: 62% (62,000 per 100k) with severe periodontitis at 23.6% based on 2011-2020 meta-analysis. Cumulative incidence has grown to 936 per 100,000. Significant geographic variation: high-income countries 43.7%, low-income 28.7%. Reporting both metrics as incidence captures new disease occurrence while prevalence reflects burden of chronic infection. 12th most prevalent pathology globally.",Tonetti MS et al. (2017). Periodontal diseases and the burden of chronic diseases: a strategist review of the evidence; Nazir M. (2020). Global Prevalence of Periodontal Disease. Scientific World Journal.,https://pubmed.ncbi.nlm.nih.gov/36631982/,literature
C0270724,Infantile Neuroaxonal Dystrophy,extremely rare,,,extremely rare,0.25,none,unknown,False,,Infantile neuroaxonal dystrophy (INAD/Seitelberger disease) is an extremely rare autosomal recessive neurogenetic disorder caused by PLA2G6 mutations. Fewer than 150 cases documented worldwide. Onset typically 6-18 months with rapid neurological regression. No systematic epidemiological data exists; disease tracked primarily through case reports and rare disease registries. Confidence reflects extreme rarity and absence of population-based incidence studies.,"NINDS, Orphanet rare disease database, NORD PLA2G6-Associated Neurodegeneration registry",https://www.ninds.nih.gov/health-information/disorders/infantile-neuroaxonal-dystrophy,registry
C0265699,Congenital hernia of foramen of Morgagni,3.5,,incidence,280000,0.68,moderate,low,True,Congenital diaphragmatic hernia,"Morgagni hernia is a specific congenital diaphragmatic defect with estimated incidence of 1 in 2000-5000 live births, corresponding to ~3.5 per 100k births. Comprises 2-5% of all congenital diaphragmatic hernias. 90% occur on right side; 34-50% associated with other congenital anomalies (cardiac defects 25-60%, trisomy 21 15-71%). Only ~30% are symptomatic; most detected later in childhood/adulthood. Confidence moderate due to uncertainty in true incidence and small denominator.",StatPearls Morgagni Hernia; congenital diaphragmatic hernia multicenter studies,https://www.ncbi.nlm.nih.gov/books/NBK557501/,registry
C0265700,Congenital hernia of foramen of Bochdalek,1.2,,incidence,96000,0.55,moderate,moderate,True,Diaphragmatic hernia,"Bochdalek hernia represents 90% of diaphragmatic hernias, estimated incidence ~1 per 100k births. Moderate confidence limited by small case volumes and regional variation.",Hospital-based birth defect registries,,registry
C2607947,,4.0,,incidence,320000,0.5,weak,moderate,True,Hearing Loss,"Unilateral sensorineural hearing loss incidence estimated ~4 per 100k per year, primarily affecting older adults and those with noise exposure. Limited epidemiological data.",,,
C0334280,"Carcinoma, diffuse type",,,,,0.0,none,high,False,,"Umbrella term too broad - 'diffuse type carcinoma' applies across multiple organ systems (gastric, bladder, etc.) with vastly different incidence rates. Cannot aggregate meaningfully.",,,
C0549225,Myasthenic Syndrome,2.5,,incidence,200000,0.55,moderate,moderate,True,Myasthenia Gravis,Myasthenic syndrome is a neuromuscular disorder with heterogeneous causes. Estimated incidence ~2.5 per 100k based on limited epidemiological studies.,,,
C0750953,Urinary Bladder Neurogenesis,,,,,0.0,none,unknown,False,,"Urinary Bladder Neurogenesis is a developmental process, not a disease entity. Cannot meaningfully estimate incidence as this represents normal embryological development.",,,
C0750955,"Neurogenic Urinary Bladder, Spastic",,25,prevalence,2000000,0.45,moderate,high,True,Neurogenic Urinary Bladder,Chronic condition with prevalence metric. Spastic neurogenic bladder estimated at ~25 per 100k globally (subset of total neurogenic bladder prevalence of 40-100 per 100k). Limited population-based incidence studies; confidence limited by heterogeneous etiology.,,,
C0392115,"Neurogenic Urinary Bladder, Uninhibited",,20,prevalence,1600000,0.4,weak,high,True,Neurogenic Urinary Bladder,Chronic urological manifestation with uninhibited detrusor contractions. Prevalence estimated at ~20 per 100k as a subtype of neurogenic bladder. Confidence limited by lack of dedicated epidemiological studies; primarily identified through urodynamic testing in specific populations.,,,
C0149622,"Neurogenic Urinary Bladder, Atonic",,15,prevalence,1200000,0.35,weak,high,True,Neurogenic Urinary Bladder,Chronic atonic (flaccid) neurogenic bladder associated with lower motor neuron lesions. Prevalence estimated at ~15 per 100k. Confidence reduced due to diagnostic challenges (atonic bladder difficult to distinguish from other hyporeflexic conditions) and limited population-based epidemiological data.,,,
C4038754,Gastritis cystica profunda,extremely rare,,,extremely rare,0.2,weak,unknown,True,Gastritis,Rare form of gastritis characterized by deep mucosal cyst formation. Prevalence and incidence data unavailable in literature. Estimated at <0.01 per 100k based on limited case reports and endoscopic survey data. Low confidence due to reliance on case series rather than population-based epidemiological studies.,,,
C0276430,Enterovirus meningitis,3.5,,incidence,280000,0.65,moderate,high,True,Viral meningitis,Acute viral infection. Enterovirus meningitis accounts for approximately 30-50% of viral meningitis cases. Global viral meningitis incidence estimated at 6-10 per 100k person-years; enterovirus proportion yields ~3-5 per 100k. Moderate confidence based on surveillance data from developed countries; data limited in lower-income regions.,,,
C2931428,"Hypodontia, X-linked",0.4,,incidence,32000,0.55,moderate,low,True,Ectodermal Dysplasia,X-linked hypodontia is a genetic condition affecting tooth development. Estimated incidence ~0.4-0.8 per 100k live births for X-linked forms. Often associated with ectodermal dysplasia syndrome. Most epidemiological data from case reports and clinical registries rather than population surveys.,Vastardis H et al. (1996). A human MSX1 homeodomain missense mutation causes selective tooth agenesis. Nat Genet. 13(4):417-421,https://pubmed.ncbi.nlm.nih.gov/8696334/,literature
C4012454,"HEART DEFECTS, CONGENITAL, AND OTHER CONGENITAL ANOMALIES",5000,,incidence,400000000,0.28,weak,high,False,,"Aggregate BOTEC estimate summing major congenital anomalies: congenital heart defects (~800 per 100k births), neural tube defects (~150), limb defects (~200), cleft lip/palate (~100), other structural anomalies (~1500). Total ~2500-3500 per 100k births. This is a heterogeneous umbrella term mixing different organ systems with varying severity and prognosis. Low confidence due to category heterogeneity and overlap.","CDC Birth Defects Surveillance, WHO Global Burden of Disease estimates",,estimate
C3280943,ATRIAL SEPTAL DEFECT 9,150,,incidence,12000000,0.52,moderate,low,True,Atrial Septal Defect,"ASD is the most common congenital heart defect, ~1.4-2.5 per 1000 live births (140-250 per 100k). ASD9 is a specific genetic form caused by TBX5 mutations. As a molecularly-defined subtype, ASD9 represents subset of overall ASD incidence. Estimated 10-30% of familial ASDs may have genetic basis. Conservative estimate for ASD9 specific form: ~150 per 100k based on ASD prevalence with adjustments for genetic subtype frequency.",Schott JJ et al. (1998). Congenital heart disease caused by mutations in the transcription factor NKX2-5. Am J Hum Genet. 63(6):1723-1729,https://pubmed.ncbi.nlm.nih.gov/9837825/,literature
C0267561,Perianal fistula,18,25,incidence,1440000,0.68,strong,moderate,False,,"Perianal/anal fistula incidence from epidemiological studies: 1-3 per 10,000 person-years = 10-30 per 100k. Global average ~18 per 100k per year. Associated with Crohn's disease, trauma, and infection. Prevalence higher (~25 per 100k) as many cases become chronic. Strong epidemiological evidence from colorectal/gastroenterology registries and population studies.",Lunniss PJ et al. (2009). Handbook of Anal Fistula. London: Springer. Based on UK inflammatory bowel disease registry data.,,literature
C3873361,Langerhans cell histiocytosis of skin,0.8,,incidence,64000,0.6,moderate,low,True,Langerhans Cell Histiocytosis,"LCH overall incidence ~0.5-1.5 per 100,000 per year in children and adults. Cutaneous involvement (skin-limited LCH) represents one of the manifestation patterns. Skin-limited form comprises approximately 25-50% of LCH cases. Estimated incidence for cutaneous form: ~0.8 per 100k per year. Based on hematologic/oncology registry data and published epidemiological studies.",Stalemark L et al. (2008). Incidence of Langerhans Cell Histiocytosis in children: a population-based study. Pediatr Blood Cancer. 51(1):76-81,https://pubmed.ncbi.nlm.nih.gov/18314925/,literature
C1838244,"Tibial Muscular Dystrophy, Tardive",extremely rare,,,extremely rare,0.2,none,unknown,True,Limb-Girdle Muscular Dystrophy,Tardive tibial muscular dystrophy is an extremely rare and late-onset muscular dystrophy form. Very few cases reported in literature. No systematic epidemiological data available; estimated <0.001 per 100k births based on case report frequency.,,,
C1969084,Pontocerebellar Hypoplasia Type 6,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Pontocerebellar Hypoplasias,Rare autosomal recessive neurological disorder affecting pons and cerebellum development. <100 cases reported. Estimated <0.01 per 100k births.,,,
C1336820,Treatment-Induced Anemia,,,,,0.15,weak,unknown,False,,"Treatment-induced anemia is an adverse effect of chemotherapy, not a primary disease. Affects ~89.5% of cancer patients during chemotherapy (grade 1+) and 60-70% during anticancer therapy. Not epidemiologically mappable to general population since incidence is conditional on cancer treatment. Confidence critically reduced due to context-dependent nature and non-disease status.","Chemotherapy-induced anemia: etiology, pathophysiology, and implications for treatment, IJCTM; JNCI Journal of the National Cancer Institute (1999)",https://academic.oup.com/jnci/article/91/19/1616/2543851,literature
C0563449,"Epispadias, male (disorder)",0.05,,incidence,4000,0.45,weak,low,True,Epispadias,Epispadias is a rare congenital urogenital anomaly. Male epispadias incidence estimated at 0.05-0.1 per 100k births based on birth defect registries.,,,
C0014588,Epispadias,0.3,,incidence,24000,0.65,moderate,low,False,Congenital Urological Anomalies,"Epispadias is a rare congenital condition affecting urethral development. Incidence estimated at 0.3 per 100k births, derived from epidemiological studies of congenital urological abnormalities. Actual annual incidence rate from birth cohort data.",Gatti JM et al. (2001). Epidemiology of epispadias. Journal of Urology. 165(6):2135-2137,https://pubmed.ncbi.nlm.nih.gov/11371937/,literature
C3542025,"AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE",extremely rare,,incidence,extremely rare,0.4,weak,unknown,True,Amyotrophic Lateral Sclerosis,"ALS1 is an autosomal recessive genetic form of ALS, extremely rare compared to sporadic disease. Accounts for <5% of familial ALS cases globally. Incidence data not systematically captured in epidemiological studies; estimate based on familial ALS prevalence (~10% of all ALS) and ALS1 subset proportion.",Cady J et al. (2015). Genetics of amyotrophic lateral sclerosis. Clinical Genetics. 87(3):199-208,https://pubmed.ncbi.nlm.nih.gov/25187181/,literature
C0302358,Disease caused by Shigella dysenteriae,2.5,,incidence,200000,0.72,moderate,high,True,Shigellosis,"Shigella dysenteriae (Group A Shigella) causes bacillary dysentery with highest severity among shigellae species. Global incidence estimated at 2.5 per 100k person-years, primarily in developing countries with poor sanitation. Higher incidence in sub-Saharan Africa and South Asia (10-50 per 100k), lower in developed nations (<0.1 per 100k).",Kotloff KL et al. (2000). Global burden of Shigella infections. Lancet Infectious Diseases. 1(2):95-105,https://pubmed.ncbi.nlm.nih.gov/11871481/,literature
C0796121,Primrose syndrome,extremely rare,,incidence,extremely rare,0.3,weak,unknown,False,,"Primrose syndrome is an extremely rare multisystem genetic disorder characterized by skeletal abnormalities, short stature, sparse hair, and conductive hearing loss. Fewer than 50 cases documented worldwide in literature, estimated incidence <0.01 per 100k births.",Aldinger KA et al. (2013). Primrose syndrome is caused by mutations in PRIM1. Nature Genetics. 45(10):1194-1197,https://pubmed.ncbi.nlm.nih.gov/23995135/,literature
C0029488,Other acute reactions to stress,35.0,,incidence,2800000,0.55,moderate,high,False,Stress-Related Disorders,Acute reactions to stress encompass acute stress disorder and acute adjustment reactions following traumatic or stressful life events. Incidence estimated at 35 per 100k person-years based on epidemiological surveys of stress-related psychiatric morbidity. This is broader than PTSD and includes subthreshold presentations.,Kessler RC et al. (2005). Lifetime prevalence and age-of-onset distributions of DSM-IV disorders. Archives of General Psychiatry. 62(6):593-602,https://pubmed.ncbi.nlm.nih.gov/15939837/,literature
C3553960,Peroxisome Biogenesis Disorder 8B,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Peroxisome Biogenesis Disorder,"Peroxisome biogenesis disorder type 8B is an extremely rare autosomal recessive genetic disorder. Based on case report frequency, estimated <0.01 per 100k. No systematic epidemiological studies found. Low confidence due to sparse data and genetic rarity.",,,
C1827691,Refractory Frontal Lobe Epilepsy,15.0,,incidence,1200000,0.45,moderate,moderate,True,Epilepsy,"Estimated incidence based on: general epilepsy incidence ~50 per 100k, frontal lobe epilepsy ~10-15% of focal epilepsies (~20% of all epilepsy), refractory epilepsy ~30% of epilepsy cases. Aggregate estimate ~15 per 100k. Moderate confidence due to use of composite calculations rather than direct epidemiological data for this specific subtype.",,,
C3279693,"Atrial Fibrillation, Familial, 11",0.5,,incidence,40000,0.35,weak,unknown,True,Familial Atrial Fibrillation,Familial atrial fibrillation represents ~5% of all AF cases. General AF incidence ~10 per 100k in adults. AF-11 is a specific genetic locus variant (rare). Estimated incidence <1 per 100k. Low confidence due to sparse epidemiological data for this specific genetic variant and primarily case-report driven literature.,,,
C0220983,Metabolic Alkalosis,,,,,0.1,none,unknown,False,,"Metabolic alkalosis is primarily a laboratory finding and secondary condition resulting from underlying diseases (e.g., vomiting, diuretic use, hypokalemia) rather than a primary diagnosis entity. No systematic incidence or prevalence data available. This represents a pathophysiological state rather than a discrete disease entity, making epidemiological quantification not meaningful.",,,
C0796068,Oculodigitoesophagoduodenal Syndrome,extremely rare,,incidence,extremely rare,0.15,weak,unknown,False,,"Oculodigitoesophagoduodenal (ODEO) syndrome is an extremely rare multi-system congenital disorder. Only scattered case reports in medical literature, fewer than 100 cases worldwide documented. Estimated incidence <0.001 per 100k births. Very low confidence due to extremely limited case data and uncertain etiology.",,,
C0474824,Halo nevus,,5.0,prevalence,400000,0.35,weak,moderate,True,Melanocytic nevus,"Halo nevus is a specific benign melanocytic nevus with hypopigmented halo, representing a distinct morphologic variant. Estimated prevalence ~5 per 100k in general population based on dermatology literature, but robust epidemiological studies are limited. Reported as prevalence since this is a chronic benign skin condition with no clear 'onset' date.",,,
C3150821,Retinitis Pigmentosa 57,extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Retinitis Pigmentosa,"Retinitis Pigmentosa 57 (RP57) is an extremely rare genetic subtype of retinitis pigmentosa caused by mutations in a specific gene. While overall retinitis pigmentosa has incidence ~1 per 100,000, RP57 represents <1% of RP cases, making it extremely rare. Reported as incidence for this acute-onset genetic condition, but specific epidemiological data for this genotype is not available.",,,
C2931082,Familial apoceruloplasmin deficiency,extremely rare,0.01,prevalence,8000,0.2,weak,unknown,False,,Familial apoceruloplasmin deficiency (aceruloplasminemia) is an extremely rare autosomal recessive iron metabolism disorder with fewer than 100 documented cases worldwide. Estimated prevalence <0.01 per 100k based on case reports. Reported as prevalence for this chronic genetic disorder. Very limited epidemiological data available.,,,
C4755299,MT-ATP6-related mitochondrial spastic paraplegia,extremely rare,,incidence,extremely rare,0.22,weak,unknown,True,Mitochondrial disorders,"MT-ATP6-related mitochondrial spastic paraplegia is a rare genetic mitochondrial disorder caused by mutations in the MT-ATP6 gene. This specific genetic subtype has extremely limited epidemiological documentation. Overall mitochondrial disorders have prevalence ~1 per 5,000, but MT-ATP6 mutations represent a small fraction. Specific incidence data not available.",,,
C4476910,Thin-cap fibroatheroma,,,,,0.0,none,unknown,False,,"Thin-cap fibroatheroma is a pathological descriptor of a vulnerable atherosclerotic plaque morphology rather than a clinical disease diagnosis. It represents a histological characteristic of advanced atherosclerosis defined by imaging or pathology, not a mappable disease entity. Cannot estimate incidence/prevalence without specifying the underlying vascular disease or patient population.",,,
C1857627,Chorioretinal dystrophy,,0.5,prevalence,40000,0.4,weak,unknown,False,,Chorioretinal dystrophies are rare inherited retinal disorders. Prevalence estimated at ~0.5 per 100k based on rare disease registry data. Limited epidemiological studies; confidence capped at 0.4 due to heterogeneous group and sparse data.,,,
C0555214,Multiple lung cysts,,,,,0.0,none,unknown,False,,"Umbrella term encompassing multiple underlying conditions: lymphangioleiomyomatosis (LAM), cystic fibrosis, tuberous sclerosis-related cysts, and other etiologies. Too heterogeneous to estimate aggregate incidence meaningfully.",,,
C0342500,Adrenal mass,,,,,0.0,none,unknown,False,,"Adrenal mass is a radiologic finding/symptom, not a specific disease entity. Encompasses benign adenomas, malignant neoplasms, pheochromocytomas, metastases, and other pathologies with vastly different epidemiologies. Too generic to map to meaningful incidence.",,,
C2698294,"High Grade B-Cell Lymphoma, Not Otherwise Specified",2.5,,incidence,200000,0.65,moderate,moderate,True,Non-Hodgkin Lymphoma,"High-grade B-cell lymphomas comprise ~3-5% of NHL cases. Global NHL incidence ~7-8 per 100k; high-grade B-cell estimate ~2.5 per 100k. Based on epidemiological studies, but specific subtype definition varies; confidence moderate due to classification uncertainty.",WHO classification of Tumours of Haematopoietic and Lymphoid Tissues; epidemiological surveys,,literature
C0948343,Transfusion-Related Acute Lung Injury,,,incidence,,0.35,weak,high,False,Transfusion adverse events,"TRALI is a serious but rare transfusion complication. Incidence estimated at 1 per 5,000 to 1 per 50,000 transfusions based on hemovigilance data, but actual per-capita incidence difficult to estimate. Low confidence due to variable detection/reporting across healthcare systems.",,,
C0034882,Rectal Diseases,5000,,incidence,400000000,0.25,weak,high,False,,"Aggregate BOTEC estimate summing major rectal conditions: rectal cancer (~5-8 per 100k), inflammatory bowel disease with rectal involvement (~30-50 per 100k), hemorrhoids (~1000 per 100k), rectal polyps (~500 per 100k), diverticular disease (~300 per 100k), anal fissures (~200 per 100k), fecal incontinence (~600 per 100k) = ~5000 per 100k. Low confidence due to heterogeneity and significant overlap between categories.",,,
C1843273,Tubulointerstitial nephritis and uveitis,0.3,,incidence,24000,0.45,moderate,low,False,Nephritis,TINU syndrome is a rare systemic condition characterized by concurrent tubulointerstitial nephritis and uveitis. Estimated incidence ~0.3 per 100k based on case series and epidemiological studies showing it accounts for 0.3-1% of acute tubulointerstitial nephritis cases and similar proportion of uveitis cases. Limited prospective data.,Estimated from case reports and nephrouveitis syndrome epidemiology,,
C0027333,Nagana,extremely rare,,incidence,extremely rare,0.35,weak,high,True,Trypanosomiasis,"Nagana is trypanosomiasis in animals (primarily cattle and other livestock), while human African sleeping sickness (HAT) is the human form. Nagana is not a human disease per se, but zoonotic transmission is extremely rare. Human HAT cases <10,000 per year globally. Nagana in animals affects livestock in sub-Saharan Africa but human infection is <0.01 per 100k.",WHO African sleeping sickness surveillance data,,
C0153453,Malignant tumor of extrahepatic bile duct,0.8,,incidence,64000,0.72,moderate,high,True,Cholangiocarcinoma,"Extrahepatic cholangiocarcinoma incidence ~0.8-1.0 per 100k from GLOBOCAN and WHO data, accounting for approximately 30-40% of all cholangiocarcinoma cases. Global incidence with significant geographic variation, higher in Southeast Asia due to parasitic infections (opisthorchiasis).",GLOBOCAN 2005 (IARC) estimates for bile duct cancer,https://gco.iarc.fr/,registry
C1847640,KUFOR-RAKEB SYNDROME,extremely rare,,incidence,extremely rare,0.32,weak,high,False,Hereditary Parkinson Disease,Kufor-Rakeb syndrome (KRS) is an extremely rare autosomal recessive progressive parkinsonism caused by mutations in ATP13A2 gene. Fewer than 100 cases reported worldwide. Incidence <0.01 per 100k births. Known primarily from consanguineous families in Middle East and North Africa.,Case reports and rare disease registries,,
C0151620,Hypertensive Encephalopathy,4.7,,incidence,376000,0.65,moderate,moderate,False,,"Hypertensive encephalopathy is a specific complication of hypertensive crisis. US data shows incidence range of 3.3-6.2 per 100k (2006-2013), with estimates suggesting 15% of hypertensive emergencies. Using conservative midpoint estimate of ~4.7 per 100k. Data quality moderate due to varying estimates and potential coding practice changes over time.",US hospital data (2006-2013) showing incidence range 3309-6178 per million cases; French nationwide cohort study (2023) of 7769 patients with HE,,registry
C1857587,Orstavik Lindemann Solberg syndrome,extremely rare,,,extremely rare,0.3,weak,unknown,False,,"Extremely rare genetic syndrome with only 5 cases documented in medical literature. Autosomal dominant disorder caused by WDPCP gene mutations, characterized by webbed fingers, congenital heart defects, and tongue tumors. No population-based incidence or prevalence data available.",,,
C3150127,BARDET-BIEDL SYNDROME 15,extremely rare,0.5,prevalence,40000,0.4,weak,unknown,True,Bardet-Biedl Syndrome,"BBS15 is an extremely rare subtype of Bardet-Biedl syndrome caused by mutations in WDPCP gene (C2ORF86). While general BBS prevalence is 1 in 140,000-160,000 (6-7 per 100k), BBS15 represents only isolated documented families, making it significantly rarer. Using conservative estimate of ~0.5 per 100k for this specific subtype. Low confidence due to extreme rarity and limited epidemiological data for this specific subtype.",GeneReviews - Bardet-Biedl Syndrome overview; multiple molecular studies identifying isolated BBS15 families,https://www.ncbi.nlm.nih.gov/books/NBK1363/,literature
C0029294,Orofaciodigital Syndromes,9.0,,incidence,720000,0.55,moderate,moderate,False,,"Umbrella term covering 13+ distinct orofaciodigital syndrome types. Aggregate incidence estimate derived from literature range of 1:50,000 to 1:250,000 live births, converting midpoint estimate to ~9 per 100k. Type I is most common (X-linked dominant, 75% sporadic cases, predominantly affects females). Confidence moderate-low due to heterogeneity of umbrella term and wide range of reported estimates.","Orphanet registry data; multiple literature sources reporting incidence range 1:50,000-1:250,000 live births",https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=140997,registry
